scenario,strategy,run_id,period,orders_submitted,failed_attempts,fills,partial_fills,openings,completed_openings,renewals,rebalances,corrections,close_requests,margin_close_requests,liquidation_fills,blocked_orders,turnover_usdt
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2022,58,8,50,0,4,4,92,19,0,2,0,0,0,43338.8862603
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2023,386,311,78,3,5,4,97,28,0,7,0,0,0,74483.1070384
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2024,221,88,134,1,10,8,96,49,0,10,6,0,0,153162.3347147
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2025,58,0,58,0,1,1,104,27,0,1,1,0,0,29329.1944330
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2026,4,0,4,0,0,0,69,2,0,0,0,0,0,108.569670
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,full,258,123,138,3,10,9,100,49,0,98,5,0,0,151400.7332514
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2022-2023,150,121,30,1,4,3,23,10,0,2,0,0,0,35153.7696140
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2024+,108,2,108,2,6,6,77,39,0,96,5,0,0,116246.9636374
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2023,150,121,30,1,4,3,23,10,0,2,0,0,0,35153.7696140
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2024,83,1,83,1,6,6,61,28,0,95,5,0,0,101559.9713204
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2025,25,1,25,1,0,0,16,11,0,1,0,0,0,14686.992317
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,full,390,243,149,2,12,10,100,52,0,169,5,0,0,171644.8980684
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,2022-2023,277,242,36,1,6,4,24,10,0,73,0,0,0,53998.0657297
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,2024+,113,1,113,1,6,6,76,42,0,96,5,0,0,117646.8323387
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,2023,277,242,36,1,6,4,24,10,0,73,0,0,0,53998.0657297
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,2024,88,0,88,0,6,6,60,31,0,95,5,0,0,102921.2469907
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,2025,25,1,25,1,0,0,16,11,0,1,0,0,0,14725.585348
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARGEN_2X,conditional,run_70383794701c4f0fc157b2ed,full,230,121,110,1,10,9,82,36,0,98,6,0,0,140863.2340857
MARGEN_2X,conditional,run_70383794701c4f0fc157b2ed,2022-2023,150,121,30,1,4,3,23,10,0,2,0,0,0,35149.6756140
MARGEN_2X,conditional,run_70383794701c4f0fc157b2ed,2024+,80,0,80,0,6,6,59,26,0,96,6,0,0,105713.5584717
MARGEN_2X,conditional,run_70383794701c4f0fc157b2ed,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARGEN_2X,conditional,run_70383794701c4f0fc157b2ed,2023,150,121,30,1,4,3,23,10,0,2,0,0,0,35149.6756140
MARGEN_2X,conditional,run_70383794701c4f0fc157b2ed,2024,80,0,80,0,6,6,59,26,0,96,6,0,0,105713.5584717
MARGEN_2X,conditional,run_70383794701c4f0fc157b2ed,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARGEN_2X,conditional,run_70383794701c4f0fc157b2ed,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARGEN_2X,permanent,run_3f5d9cce8ff1c2ba5447e3b6,full,684,366,324,6,21,17,447,124,0,65,7,0,0,301651.8257478
MARGEN_2X,permanent,run_3f5d9cce8ff1c2ba5447e3b6,2022-2023,444,319,128,3,9,8,189,47,0,9,0,0,0,117791.7839230
MARGEN_2X,permanent,run_3f5d9cce8ff1c2ba5447e3b6,2024+,240,47,196,3,12,9,258,77,0,56,7,0,0,183860.0418248
MARGEN_2X,permanent,run_3f5d9cce8ff1c2ba5447e3b6,2022,58,8,50,0,4,4,92,19,0,2,0,0,0,43331.1396411
MARGEN_2X,permanent,run_3f5d9cce8ff1c2ba5447e3b6,2023,386,311,78,3,5,4,97,28,0,7,0,0,0,74460.6442819
MARGEN_2X,permanent,run_3f5d9cce8ff1c2ba5447e3b6,2024,170,47,126,3,11,8,85,44,0,55,6,0,0,153129.8978585
MARGEN_2X,permanent,run_3f5d9cce8ff1c2ba5447e3b6,2025,66,0,66,0,1,1,104,31,0,1,1,0,0,30643.0908663
MARGEN_2X,permanent,run_3f5d9cce8ff1c2ba5447e3b6,2026,4,0,4,0,0,0,69,2,0,0,0,0,0,87.053100
FUT4_REALIZADA,permanent,run_edc965655c124abd4318e838,full,727,407,324,4,20,17,458,125,0,20,7,0,0,299922.1279657
FUT4_REALIZADA,permanent,run_edc965655c124abd4318e838,2022-2023,444,319,128,3,9,8,189,47,0,9,0,0,0,117839.1813830
FUT4_REALIZADA,permanent,run_edc965655c124abd4318e838,2024+,283,88,196,1,11,9,269,78,0,11,7,0,0,182082.9465827
FUT4_REALIZADA,permanent,run_edc965655c124abd4318e838,2022,58,8,50,0,4,4,92,19,0,2,0,0,0,43340.9267411
FUT4_REALIZADA,permanent,run_edc965655c124abd4318e838,2023,386,311,78,3,5,4,97,28,0,7,0,0,0,74498.2546419
FUT4_REALIZADA,permanent,run_edc965655c124abd4318e838,2024,211,88,124,1,10,8,96,44,0,10,6,0,0,149621.3974819
