scenario,period,conditional_run_id,permanent_run_id,conditional_sharpe,permanent_sharpe,sharpe_difference,verdict,reason
FUT4_REALIZADA,2022,run_d17c6848d9a0c5c85249b152,run_edc965655c124abd4318e838,,2.6711978181368212,,no_concluyente,zero sample volatility
FUT4_REALIZADA,2022-2023,run_d17c6848d9a0c5c85249b152,run_edc965655c124abd4318e838,3.348189061662881,4.641735548336052,-1.293546486673171,no_favorable,
FUT4_REALIZADA,2023,run_d17c6848d9a0c5c85249b152,run_edc965655c124abd4318e838,4.806292726913019,6.090942557660193,-1.284649830747174,no_favorable,
FUT4_REALIZADA,2024,run_d17c6848d9a0c5c85249b152,run_edc965655c124abd4318e838,10.626804549058788,12.055097605375256,-1.428293056316468,no_favorable,
FUT4_REALIZADA,2024+,run_d17c6848d9a0c5c85249b152,run_edc965655c124abd4318e838,6.2736112896607095,9.784214826893066,-3.5106035372323565,no_favorable,
FUT4_REALIZADA,2025,run_d17c6848d9a0c5c85249b152,run_edc965655c124abd4318e838,3.439116921134169,13.90101532878685,-10.461898407652681,no_favorable,
FUT4_REALIZADA,2026,run_d17c6848d9a0c5c85249b152,run_edc965655c124abd4318e838,-0.4351627319185528,6.356657688593785,-6.7918204205123378,no_favorable,
FUT4_REALIZADA,full,run_d17c6848d9a0c5c85249b152,run_edc965655c124abd4318e838,5.013681786321673,6.594886333890124,-1.581204547568451,no_favorable,
MARGEN_2X,2022,run_70383794701c4f0fc157b2ed,run_3f5d9cce8ff1c2ba5447e3b6,,2.621727629634954,,no_concluyente,zero sample volatility
MARGEN_2X,2022-2023,run_70383794701c4f0fc157b2ed,run_3f5d9cce8ff1c2ba5447e3b6,3.3374368352976136,4.616517824854036,-1.2790809895564224,no_favorable,
MARGEN_2X,2023,run_70383794701c4f0fc157b2ed,run_3f5d9cce8ff1c2ba5447e3b6,4.790370676993327,6.076624589697891,-1.286253912704564,no_favorable,
MARGEN_2X,2024,run_70383794701c4f0fc157b2ed,run_3f5d9cce8ff1c2ba5447e3b6,8.385878841971216,11.158422464120378,-2.772543622149162,no_favorable,
MARGEN_2X,2024+,run_70383794701c4f0fc157b2ed,run_3f5d9cce8ff1c2ba5447e3b6,4.859502820322256,9.414667657874979,-4.555164837552723,no_favorable,
MARGEN_2X,2025,run_70383794701c4f0fc157b2ed,run_3f5d9cce8ff1c2ba5447e3b6,-0.15961199416560182,13.907810967989,-14.06742296215460182,no_favorable,
MARGEN_2X,2026,run_70383794701c4f0fc157b2ed,run_3f5d9cce8ff1c2ba5447e3b6,-0.4572584634603321,6.363119411095411,-6.8203778745557431,no_favorable,
MARGEN_2X,full,run_70383794701c4f0fc157b2ed,run_3f5d9cce8ff1c2ba5447e3b6,4.233782404690964,6.39911129023173,-2.165328885540766,no_favorable,
