scenario,strategy,run_id,time_ns,date,equity_usdt,starting_equity_usdt,net_pnl_usdt,spot_pnl_usdt,futures_pnl_usdt,funding_usdt,fees_usdt,liquidation_fees_usdt,slippage_informational_usdt,spot_realized_pnl_usdt,spot_unrealized_pnl_usdt,futures_realized_pnl_usdt,futures_unrealized_pnl_usdt,reconciliation_residual_usdt,daily_return,capital_deployed_usdt,capital_utilization,gross_exposure_usdt,collateral_usdt,free_cash_usdt,debt_usdt,balance_residual_usdt,partial_day,maintenance_usdt,maintenance_to_balance_max,active_margin_positions,margin_reason
BASE_E3,conditional,run_ad71d751b20623006c195ff3,1641081599999999999,2022-01-01,10000,10000,0,0,0E-8,0,0,0,0,0,0,0,0E-8,0E-8,0,0E-8,0E-8,0E-8,0,10000,0,0E-8,False,0,,0,no active short
BASE_E3,conditional,run_ad71d751b20623006c195ff3,1641167999999999999,2022-01-02,10000,10000,0,0,0E-8,0,0,0,0,0,0,0,0E-8,0E-8,0,0E-8,0E-8,0E-8,0,10000,0,0E-8,False,0,,0,no active short
BASE_E3,conditional,run_ad71d751b20623006c195ff3,1641254399999999999,2022-01-03,10000,10000,0,0,0E-8,0,0,0,0,0,0,0,0E-8,0E-8,0,0E-8,0E-8,0E-8,0,10000,0,0E-8,False,0,,0,no active short
BASE_E3,conditional,run_ad71d751b20623006c195ff3,1641340799999999999,2022-01-04,10000,10000,0,0,0E-8,0,0,0,0,0,0,0,0E-8,0E-8,0,0E-8,0E-8,0E-8,0,10000,0,0E-8,False,0,,0,no active short
BASE_E3,conditional,run_ad71d751b20623006c195ff3,1641427199999999999,2022-01-05,10000,10000,0,0,0E-8,0,0,0,0,0,0,0,0E-8,0E-8,0,0E-8,0E-8,0E-8,0,10000,0,0E-8,False,0,,0,no active short
BASE_E3,conditional,run_ad71d751b20623006c195ff3,1641513599999999999,2022-01-06,10000,10000,0,0,0E-8,0,0,0,0,0,0,0,0E-8,0E-8,0,0E-8,0E-8,0E-8,0,10000,0,0E-8,False,0,,0,no active short
BASE_E3,conditional,run_ad71d751b20623006c195ff3,1641599999999999999,2022-01-07,10000,10000,0,0,0E-8,0,0,0,0,0,0,0,0E-8,0E-8,0,0E-8,0E-8,0E-8,0,10000,0,0E-8,False,0,,0,no active short
BASE_E3,conditional,run_ad71d751b20623006c195ff3,1641686399999999999,2022-01-08,10000,10000,0,0,0E-8,0,0,0,0,0,0,0,0E-8,0E-8,0,0E-8,0E-8,0E-8,0,10000,0,0E-8,False,0,,0,no active short
BASE_E3,conditional,run_ad71d751b20623006c195ff3,1641772799999999999,2022-01-09,10000,10000,0,0,0E-8,0,0,0,0,0,0,0,0E-8,0E-8,0,0E-8,0E-8,0E-8,0,10000,0,0E-8,False,0,,0,no active short
BASE_E3,conditional,run_ad71d751b20623006c195ff3,1641859199999999999,2022-01-10,10000,10000,0,0,0E-8,0,0,0,0,0,0,0,0E-8,0E-8,0,0E-8,0E-8,0E-8,0,10000,0,0E-8,False,0,,0,no active short
