scenario,strategy,run_id,period,symbol,invested_seconds,unhedged_seconds,covered_seconds,cash_seconds,calendar_seconds,invested_fraction,both_covered_seconds
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2024,PORTFOLIO,31622400.000,725460.000,31319760.000,0.000,31622400,1.000,30896940.000
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2025,BTCUSDT,31536000.000,660.000,31535340.000,0.000,31536000,1.000,
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2025,ETHUSDT,31536000.000,427380.000,31108620.000,0.000,31536000,1.000,
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2025,PORTFOLIO,31536000.000,428040.000,31536000.000,0.000,31536000,1.000,31107960.000
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2026,BTCUSDT,20995200.000,0.000,20995200.000,0.000,20995200,1.000,
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2026,ETHUSDT,20995200.000,120.000,20995080.000,0.000,20995200,1.000,
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2026,PORTFOLIO,20995200.000,120.000,20995200.000,0.000,20995200,1.000,20995080.000
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,full,BTCUSDT,88415820.000,64436880.000,23978940.000,58809780.000,147225600,0.6005465082159624413145539906,
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,full,ETHUSDT,114537420.000,74060400.000,40477020.000,32688180.000,147225600,0.7779721733176838810641627543,
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,full,PORTFOLIO,114537420.000,85644240.000,41682240.000,32688180.000,147225600,0.7779721733176838810641627543,22773720.000
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2022-2023,BTCUSDT,4262220.000,240.000,4261980.000,58809780.000,63072000,0.06757705479452054794520547945,
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2022-2023,ETHUSDT,30383820.000,20002200.000,10381620.000,32688180.000,63072000,0.4817323059360730593607305936,
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2022-2023,PORTFOLIO,30383820.000,20002440.000,10381680.000,32688180.000,63072000,0.4817323059360730593607305936,4261920.000
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2024+,BTCUSDT,84153600.000,64436640.000,19716960.000,0.000,84153600,1.000,
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2024+,ETHUSDT,84153600.000,54058200.000,30095400.000,0.000,84153600,1.000,
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2024+,PORTFOLIO,84153600.000,65641800.000,31300560.000,0.000,84153600,1.000,18511800.000
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2022,BTCUSDT,0,0,0,31536000,31536000,0,
