fact_id,source_id,derived_fact_id,tier_index,floor_exclusive_usdt,cap_inclusive_usdt,published_rate,derived_deduction_usdt,maintenance_at_cap,next_formula_at_cap,continuity_checked,boundary_selection_passed
TIERS_MARG23_BTCUSDT_after,MARG23,TIERS_MARG23_BTCUSDT_after_DERIVED,2,500000,10000000,0.01,2550.000,97450.000,97450.000,True,True
TIERS_MARG23_BTCUSDT_after,MARG23,TIERS_MARG23_BTCUSDT_after_DERIVED,3,10000000,80000000,0.025,152550.000,1847450.000,1847450.000,True,True
TIERS_MARG23_BTCUSDT_after,MARG23,TIERS_MARG23_BTCUSDT_after_DERIVED,4,80000000,150000000,0.05,2152550.000,5347450.000,5347450.000,True,True
TIERS_MARG23_BTCUSDT_after,MARG23,TIERS_MARG23_BTCUSDT_after_DERIVED,5,150000000,300000000,0.1,9652550.000,20347450.000,20347450.000,True,True
TIERS_MARG23_BTCUSDT_after,MARG23,TIERS_MARG23_BTCUSDT_after_DERIVED,6,300000000,450000000,0.125,17152550.000,39097450.000,39097450.000,True,True
TIERS_MARG23_BTCUSDT_after,MARG23,TIERS_MARG23_BTCUSDT_after_DERIVED,7,450000000,600000000,0.15,28402550.000,61597450.000,61597450.000,True,True
TIERS_MARG23_BTCUSDT_after,MARG23,TIERS_MARG23_BTCUSDT_after_DERIVED,8,600000000,800000000,0.25,88402550.000,111597450.000,111597450.000,True,True
TIERS_MARG23_BTCUSDT_after,MARG23,TIERS_MARG23_BTCUSDT_after_DERIVED,9,800000000,1000000000,0.5,288402550.000,211597450.000,,False,True
TIERS_MARG23_ETHUSDT_before,MARG23,TIERS_MARG23_ETHUSDT_before_DERIVED,0,0,200000,0.005,0,1000.000,1000.0000,True,True
TIERS_MARG23_ETHUSDT_before,MARG23,TIERS_MARG23_ETHUSDT_before_DERIVED,1,200000,800000,0.0065,300.0000,4900.0000,4900.0000,True,True
TIERS_MARG23_ETHUSDT_before,MARG23,TIERS_MARG23_ETHUSDT_before_DERIVED,2,800000,5000000,0.01,3100.0000,46900.0000,46900.0000,True,True
TIERS_MARG23_ETHUSDT_before,MARG23,TIERS_MARG23_ETHUSDT_before_DERIVED,3,5000000,30000000,0.02,53100.0000,546900.0000,546900.0000,True,True
TIERS_MARG23_ETHUSDT_before,MARG23,TIERS_MARG23_ETHUSDT_before_DERIVED,4,30000000,50000000,0.05,953100.0000,1546900.0000,1546900.0000,True,True
TIERS_MARG23_ETHUSDT_before,MARG23,TIERS_MARG23_ETHUSDT_before_DERIVED,5,50000000,70000000,0.1,3453100.0000,3546900.0000,3546900.0000,True,True
TIERS_MARG23_ETHUSDT_before,MARG23,TIERS_MARG23_ETHUSDT_before_DERIVED,6,70000000,80000000,0.125,5203100.0000,4796900.0000,4796900.0000,True,True
TIERS_MARG23_ETHUSDT_before,MARG23,TIERS_MARG23_ETHUSDT_before_DERIVED,7,80000000,100000000,0.15,7203100.0000,7796900.0000,7796900.0000,True,True
TIERS_MARG23_ETHUSDT_before,MARG23,TIERS_MARG23_ETHUSDT_before_DERIVED,8,100000000,150000000,0.25,17203100.0000,20296900.0000,20296900.0000,True,True
TIERS_MARG23_ETHUSDT_before,MARG23,TIERS_MARG23_ETHUSDT_before_DERIVED,9,150000000,300000000,0.5,54703100.0000,95296900.0000,,False,True
TIERS_MARG23_ETHUSDT_after,MARG23,TIERS_MARG23_ETHUSDT_after_DERIVED,0,0,50000,0.004,0,200.000,200.000,True,True
TIERS_MARG23_ETHUSDT_after,MARG23,TIERS_MARG23_ETHUSDT_after_DERIVED,1,50000,500000,0.005,50.000,2450.000,2450.0000,True,True
TIERS_MARG23_ETHUSDT_after,MARG23,TIERS_MARG23_ETHUSDT_after_DERIVED,2,500000,1000000,0.0065,800.0000,5700.0000,5700.0000,True,True
TIERS_MARG23_ETHUSDT_after,MARG23,TIERS_MARG23_ETHUSDT_after_DERIVED,3,1000000,5000000,0.01,4300.0000,45700.0000,45700.0000,True,True
TIERS_MARG23_ETHUSDT_after,MARG23,TIERS_MARG23_ETHUSDT_after_DERIVED,4,5000000,50000000,0.02,54300.0000,945700.0000,945700.0000,True,True
TIERS_MARG23_ETHUSDT_after,MARG23,TIERS_MARG23_ETHUSDT_after_DERIVED,5,50000000,100000000,0.05,1554300.0000,3445700.0000,3445700.0000,True,True
TIERS_MARG23_ETHUSDT_after,MARG23,TIERS_MARG23_ETHUSDT_after_DERIVED,6,100000000,150000000,0.1,6554300.0000,8445700.0000,8445700.0000,True,True
TIERS_MARG23_ETHUSDT_after,MARG23,TIERS_MARG23_ETHUSDT_after_DERIVED,7,150000000,300000000,0.125,10304300.0000,27195700.0000,27195700.0000,True,True
TIERS_MARG23_ETHUSDT_after,MARG23,TIERS_MARG23_ETHUSDT_after_DERIVED,8,300000000,400000000,0.15,17804300.0000,42195700.0000,42195700.0000,True,True
TIERS_MARG23_ETHUSDT_after,MARG23,TIERS_MARG23_ETHUSDT_after_DERIVED,9,400000000,500000000,0.25,57804300.0000,67195700.0000,67195700.0000,True,True
TIERS_MARG23_ETHUSDT_after,MARG23,TIERS_MARG23_ETHUSDT_after_DERIVED,10,500000000,800000000,0.5,182804300.0000,217195700.0000,,False,True
TIERS_MARG24_BTCUSDT_before,MARG24,TIERS_MARG24_BTCUSDT_before_DERIVED,0,0,50000,0.004,0,200.000,200.000,True,True
TIERS_MARG24_BTCUSDT_before,MARG24,TIERS_MARG24_BTCUSDT_before_DERIVED,1,50000,500000,0.005,50.000,2450.000,2450.000,True,True
TIERS_MARG24_BTCUSDT_before,MARG24,TIERS_MARG24_BTCUSDT_before_DERIVED,2,500000,10000000,0.01,2550.000,97450.000,97450.000,True,True
TIERS_MARG24_BTCUSDT_before,MARG24,TIERS_MARG24_BTCUSDT_before_DERIVED,3,10000000,80000000,0.025,152550.000,1847450.000,1847450.000,True,True
TIERS_MARG24_BTCUSDT_before,MARG24,TIERS_MARG24_BTCUSDT_before_DERIVED,4,80000000,150000000,0.05,2152550.000,5347450.000,5347450.000,True,True
TIERS_MARG24_BTCUSDT_before,MARG24,TIERS_MARG24_BTCUSDT_before_DERIVED,5,150000000,300000000,0.1,9652550.000,20347450.000,20347450.000,True,True
TIERS_MARG24_BTCUSDT_before,MARG24,TIERS_MARG24_BTCUSDT_before_DERIVED,6,300000000,450000000,0.125,17152550.000,39097450.000,39097450.000,True,True
TIERS_MARG24_BTCUSDT_before,MARG24,TIERS_MARG24_BTCUSDT_before_DERIVED,7,450000000,600000000,0.15,28402550.000,61597450.000,61597450.000,True,True
TIERS_MARG24_BTCUSDT_before,MARG24,TIERS_MARG24_BTCUSDT_before_DERIVED,8,600000000,800000000,0.25,88402550.000,111597450.000,111597450.000,True,True
TIERS_MARG24_BTCUSDT_before,MARG24,TIERS_MARG24_BTCUSDT_before_DERIVED,9,800000000,1000000000,0.5,288402550.000,211597450.000,,False,True
TIERS_MARG24_BTCUSDT_after,MARG24,TIERS_MARG24_BTCUSDT_after_DERIVED,0,0,50000,0.004,0,200.000,200.000,True,True
TIERS_MARG24_BTCUSDT_after,MARG24,TIERS_MARG24_BTCUSDT_after_DERIVED,1,50000,600000,0.005,50.000,2950.000,2950.0000,True,True
TIERS_MARG24_BTCUSDT_after,MARG24,TIERS_MARG24_BTCUSDT_after_DERIVED,2,600000,3000000,0.0065,950.0000,18550.0000,18550.0000,True,True
TIERS_MARG24_BTCUSDT_after,MARG24,TIERS_MARG24_BTCUSDT_after_DERIVED,3,3000000,12000000,0.01,11450.0000,108550.0000,108550.0000,True,True
TIERS_MARG24_BTCUSDT_after,MARG24,TIERS_MARG24_BTCUSDT_after_DERIVED,4,12000000,70000000,0.02,131450.0000,1268550.0000,1268550.0000,True,True
TIERS_MARG24_BTCUSDT_after,MARG24,TIERS_MARG24_BTCUSDT_after_DERIVED,5,70000000,100000000,0.025,481450.0000,2018550.0000,2018550.0000,True,True
TIERS_MARG24_BTCUSDT_after,MARG24,TIERS_MARG24_BTCUSDT_after_DERIVED,6,100000000,230000000,0.05,2981450.0000,8518550.0000,8518550.0000,True,True
TIERS_MARG24_BTCUSDT_after,MARG24,TIERS_MARG24_BTCUSDT_after_DERIVED,7,230000000,480000000,0.1,14481450.0000,33518550.0000,33518550.0000,True,True
TIERS_MARG24_BTCUSDT_after,MARG24,TIERS_MARG24_BTCUSDT_after_DERIVED,8,480000000,600000000,0.125,26481450.0000,48518550.0000,48518550.0000,True,True
TIERS_MARG24_BTCUSDT_after,MARG24,TIERS_MARG24_BTCUSDT_after_DERIVED,9,600000000,800000000,0.15,41481450.0000,78518550.0000,78518550.0000,True,True
TIERS_MARG24_BTCUSDT_after,MARG24,TIERS_MARG24_BTCUSDT_after_DERIVED,10,800000000,1200000000,0.25,121481450.0000,178518550.0000,178518550.0000,True,True
TIERS_MARG24_BTCUSDT_after,MARG24,TIERS_MARG24_BTCUSDT_after_DERIVED,11,1200000000,1800000000,0.5,421481450.0000,478518550.0000,,False,True
TIERS_MARG24_ETHUSDT_before,MARG24,TIERS_MARG24_ETHUSDT_before_DERIVED,0,0,50000,0.004,0,200.000,200.000,True,True
TIERS_MARG24_ETHUSDT_before,MARG24,TIERS_MARG24_ETHUSDT_before_DERIVED,1,50000,500000,0.005,50.000,2450.000,2450.0000,True,True
TIERS_MARG24_ETHUSDT_before,MARG24,TIERS_MARG24_ETHUSDT_before_DERIVED,2,500000,1000000,0.0065,800.0000,5700.0000,5700.0000,True,True
TIERS_MARG24_ETHUSDT_before,MARG24,TIERS_MARG24_ETHUSDT_before_DERIVED,3,1000000,5000000,0.01,4300.0000,45700.0000,45700.0000,True,True
TIERS_MARG24_ETHUSDT_before,MARG24,TIERS_MARG24_ETHUSDT_before_DERIVED,4,5000000,50000000,0.02,54300.0000,945700.0000,945700.0000,True,True
TIERS_MARG24_ETHUSDT_before,MARG24,TIERS_MARG24_ETHUSDT_before_DERIVED,5,50000000,100000000,0.05,1554300.0000,3445700.0000,3445700.0000,True,True
TIERS_MARG24_ETHUSDT_before,MARG24,TIERS_MARG24_ETHUSDT_before_DERIVED,6,100000000,150000000,0.1,6554300.0000,8445700.0000,8445700.0000,True,True
TIERS_MARG24_ETHUSDT_before,MARG24,TIERS_MARG24_ETHUSDT_before_DERIVED,7,150000000,300000000,0.125,10304300.0000,27195700.0000,27195700.0000,True,True
TIERS_MARG24_ETHUSDT_before,MARG24,TIERS_MARG24_ETHUSDT_before_DERIVED,8,300000000,400000000,0.15,17804300.0000,42195700.0000,42195700.0000,True,True
TIERS_MARG24_ETHUSDT_before,MARG24,TIERS_MARG24_ETHUSDT_before_DERIVED,9,400000000,500000000,0.25,57804300.0000,67195700.0000,67195700.0000,True,True
TIERS_MARG24_ETHUSDT_before,MARG24,TIERS_MARG24_ETHUSDT_before_DERIVED,10,500000000,800000000,0.5,182804300.0000,217195700.0000,,False,True
TIERS_MARG24_ETHUSDT_after,MARG24,TIERS_MARG24_ETHUSDT_after_DERIVED,0,0,50000,0.004,0,200.000,200.000,True,True
