ventana,estrategia,run_id,inicio_utc,fin_exclusivo_utc,capital_inicial_usdt,equity_final_usdt,retorno_neto,cagr,sharpe,drawdown_diario,aperturas_completas,ciclos_cerrados,intentos_orden_fallidos,aperturas_fallidas,intentos_apertura,fills,fills_parciales,cagr_motivo_nulo,sharpe_motivo_nulo
early,conditional,run_f4151cc97937f3704d77fb14,2022-09-01T00:00:00Z,2023-09-01T00:00:00Z,10000,10073.63631770096690445460000,0.00736363177009669,0.00736363177009669,1.9181736175616881,-0.0012238200504499641,1,1,121,1,2,18,1,,
early,permanent,run_f4151cc97937f3704d77fb14,2022-09-01T00:00:00Z,2023-09-01T00:00:00Z,10000,10334.39901597150466630770000,0.03343990159715049,0.03343990159715049,4.110076292959999,-0.0013593578430675102,6,4,240,0,6,72,0,,
late,conditional,run_519a165818e2cadce24bc873,2025-09-01T00:00:00Z,2026-09-01T00:00:00Z,10000,10000,0.0,0.0,,0.0,0,0,0,0,0,0,0,,volatilidad muestral nula
late,permanent,run_519a165818e2cadce24bc873,2025-09-01T00:00:00Z,2026-09-01T00:00:00Z,10000,10008.5990064113315053282,0.0008599006411331711,0.0008599006411331711,1.960300143675152,-9.509951783193138e-05,1,0,0,0,1,2,0,,
