ventana,estrategia,run_id,fecha_utc,cambio_equity_diario_usdt,funding_usdt,fees_costo_positivo_usdt,beneficio_anual_usdt,fraccion_beneficio_anual,motivo_fraccion_no_aplicable,minutos_activo_sin_cobertura,activos_cerrados,cierres_futuros_utc,cierres_spot_utc,precios_futuros_usdt,precios_spot_usdt,ordenes_cierre,fills
early,conditional,run_f4151cc97937f3704d77fb14,2023-03-24,35.90887557500000000000000,0.6077905000000000000,4.429328125,73.63631770096690445460000,0.487651700901503490010949711566999854490405658814409658558080,,121,ETHUSDT,ETHUSDT=2023-03-24T12:00:00.000000000Z,ETHUSDT=2023-03-24T14:01:00.000000000Z,ETHUSDT=1746.83,ETHUSDT=1770.96,122,2
early,permanent,run_f4151cc97937f3704d77fb14,2023-03-24,72.96391150798000000000000,1.2320168000000000000,9.0381766400,334.39901597150466630770000,0.218194157348230699708004062670993900110681106824045415380003,,242,BTCUSDT;ETHUSDT,BTCUSDT=2023-03-24T12:00:00.000000000Z;ETHUSDT=2023-03-24T12:00:00.000000000Z,BTCUSDT=2023-03-24T14:01:00.000000000Z;ETHUSDT=2023-03-24T14:01:00.000000000Z,BTCUSDT=27592.2;ETHUSDT=1746.83,BTCUSDT=27972.48;ETHUSDT=1770.96,244,4
