ventana,estrategia,run_id,inicio_utc,fin_exclusivo_utc,spot_usdt,futuros_usdt,funding_usdt,comisiones_usdt,liquidaciones_usdt,slippage_informativo_usdt,precios_usdt,neto_componentes_usdt,beneficio_equity_usdt,residuo_conciliacion_usdt,slippage_resta_adicional
early,conditional,run_f4151cc97937f3704d77fb14,2022-09-01T00:00:00Z,2023-09-01T00:00:00Z,511.7728006730000000000000001,-472.3086499999999999999999989,51.2707622339669044546,-17.098595206,0,2.160014946032706543719342500,39.4641506730000000000000012,73.6363177009669044546000012,73.63631770096690445460000,-1.2E-24,False
early,permanent,run_f4151cc97937f3704d77fb14,2022-09-01T00:00:00Z,2023-09-01T00:00:00Z,1214.821370064000000000000001,-1107.733089364199999999999999,286.4577636637046663077,-59.1470283920,0,8.053750550718323267728835638,107.088280699800000000000002,334.399015971504666307700002,334.39901597150466630770000,-2E-24,False
late,conditional,run_519a165818e2cadce24bc873,2025-09-01T00:00:00Z,2026-09-01T00:00:00Z,0,0,0,0,0,0,0,0,0,0,False
late,permanent,run_519a165818e2cadce24bc873,2025-09-01T00:00:00Z,2026-09-01T00:00:00Z,84.5299006848000000,-79.77060000000,8.3136404713315053282,-4.4739347448,0,0.5987060076966965242658424364,4.7593006848000000,8.5990064113315053282,8.5990064113315053282,0E-19,False
