window,symbol,sample_reason,decision_utc,conditional_funding_anchor_utc,spot_interval_utc,spot_available_utc,futures_interval_utc,futures_available_utc,spot_original_source_path,spot_original_source_line,spot_original_timestamp_unit,futures_original_source_path,futures_original_source_line,futures_original_timestamp_unit,spot_original_close,futures_original_close,basis_independent,conditional_basis_persisted,permanent_basis_persisted,classification_audited,conditional_basis_difference,permanent_basis_difference,audit_status,conditional_signal_id,permanent_signal_id
early,ETHUSDT,temporal_grid_5/13,2023-01-19T00:01:00.000000000Z,2023-01-19T00:00:00.000000000Z,"[2023-01-19T00:00:00.000000000Z,2023-01-19T00:01:00.000000000Z)",2023-01-19T00:01:00.000000000Z,"[2023-01-19T00:00:00.000000000Z,2023-01-19T00:01:00.000000000Z)",2023-01-19T00:01:00.000000000Z,data/minutes/2022_2023/raw/spot/klines/ETHUSDT/ETHUSDT-1m-2023-01.zip,25921,ms,data/minutes/2022_2023/raw/futures/klines/ETHUSDT/ETHUSDT-1m-2023-01.zip,25922,ms,1514.11000000,1514.58,0.00031041337815614453375250146951014127110976084960802055333,0.000310413378156144533752501,0.000310413378156144533752501,positive_eligible,-4.6951014127110976084960802055333E-28,-4.6951014127110976084960802055333E-28,verified,run_f4151cc97937f3704d77fb14:signals.parquet:row=842,run_f4151cc97937f3704d77fb14:signals.parquet:row=3032
early,ETHUSDT,nearest_zero,2023-02-09T08:01:00.006000000Z,2023-02-09T08:00:00.006000000Z,"[2023-02-09T08:00:00.000000000Z,2023-02-09T08:01:00.000000000Z)",2023-02-09T08:01:00.000000000Z,"[2023-02-09T08:00:00.000000000Z,2023-02-09T08:01:00.000000000Z)",2023-02-09T08:01:00.000000000Z,data/minutes/2022_2023/raw/spot/klines/ETHUSDT/ETHUSDT-1m-2023-02.zip,12001,ms,data/minutes/2022_2023/raw/futures/klines/ETHUSDT/ETHUSDT-1m-2023-02.zip,12002,ms,1631.61000000,1631.61,0,0,0,zero,0,0,verified,run_f4151cc97937f3704d77fb14:signals.parquet:row=970,run_f4151cc97937f3704d77fb14:signals.parquet:row=3160
early,ETHUSDT,temporal_grid_6/13,2023-02-16T00:01:00.019000000Z,2023-02-16T00:00:00.019000000Z,"[2023-02-16T00:00:00.000000000Z,2023-02-16T00:01:00.000000000Z)",2023-02-16T00:01:00.000000000Z,"[2023-02-16T00:00:00.000000000Z,2023-02-16T00:01:00.000000000Z)",2023-02-16T00:01:00.000000000Z,data/minutes/2022_2023/raw/spot/klines/ETHUSDT/ETHUSDT-1m-2023-02.zip,21601,ms,data/minutes/2022_2023/raw/futures/klines/ETHUSDT/ETHUSDT-1m-2023-02.zip,21602,ms,1675.41000000,1675.69,0.00016712327131866229758685933592374403877259894592965304015,0.000167123271318662297586859,0.000167123271318662297586859,positive_eligible,-3.3592374403877259894592965304015E-28,-3.3592374403877259894592965304015E-28,verified,run_f4151cc97937f3704d77fb14:signals.parquet:row=1010,run_f4151cc97937f3704d77fb14:signals.parquet:row=3200
early,ETHUSDT,nearest_zero,2023-02-17T16:01:00.000000000Z,2023-02-17T16:00:00.000000000Z,"[2023-02-17T16:00:00.000000000Z,2023-02-17T16:01:00.000000000Z)",2023-02-17T16:01:00.000000000Z,"[2023-02-17T16:00:00.000000000Z,2023-02-17T16:01:00.000000000Z)",2023-02-17T16:01:00.000000000Z,data/minutes/2022_2023/raw/spot/klines/ETHUSDT/ETHUSDT-1m-2023-02.zip,24001,ms,data/minutes/2022_2023/raw/futures/klines/ETHUSDT/ETHUSDT-1m-2023-02.zip,24002,ms,1676.70000000,1676.70,0,0,0,zero,0,0,verified,run_f4151cc97937f3704d77fb14:signals.parquet:row=1020,run_f4151cc97937f3704d77fb14:signals.parquet:row=3210
early,ETHUSDT,nearest_zero,2023-03-14T08:01:00.009000000Z,2023-03-14T08:00:00.009000000Z,"[2023-03-14T08:00:00.000000000Z,2023-03-14T08:01:00.000000000Z)",2023-03-14T08:01:00.000000000Z,"[2023-03-14T08:00:00.000000000Z,2023-03-14T08:01:00.000000000Z)",2023-03-14T08:01:00.000000000Z,data/minutes/2022_2023/raw/spot/klines/ETHUSDT/ETHUSDT-1m-2023-03.zip,19201,ms,data/minutes/2022_2023/raw/futures/klines/ETHUSDT/ETHUSDT-1m-2023-03.zip,19202,ms,1666.83000000,1666.83,0,0,0,zero,0,0,verified,run_f4151cc97937f3704d77fb14:signals.parquet:row=1168,run_f4151cc97937f3704d77fb14:signals.parquet:row=3358
early,ETHUSDT,temporal_grid_7/13,2023-03-16T08:01:00.018000000Z,2023-03-16T08:00:00.018000000Z,"[2023-03-16T08:00:00.000000000Z,2023-03-16T08:01:00.000000000Z)",2023-03-16T08:01:00.000000000Z,"[2023-03-16T08:00:00.000000000Z,2023-03-16T08:01:00.000000000Z)",2023-03-16T08:01:00.000000000Z,data/minutes/2022_2023/raw/spot/klines/ETHUSDT/ETHUSDT-1m-2023-03.zip,22081,ms,data/minutes/2022_2023/raw/futures/klines/ETHUSDT/ETHUSDT-1m-2023-03.zip,22082,ms,1656.25000000,1655.53,-0.000434716981132075471698113207547169811320754716981132075472,-0.0004347169811320754716981132,-0.0004347169811320754716981132,negative,7.547169811320754716981132075472E-30,7.547169811320754716981132075472E-30,verified,run_f4151cc97937f3704d77fb14:signals.parquet:row=1180,run_f4151cc97937f3704d77fb14:signals.parquet:row=3370
early,ETHUSDT,temporal_grid_8/13,2023-04-13T08:01:00.010000000Z,2023-04-13T08:00:00.010000000Z,"[2023-04-13T08:00:00.000000000Z,2023-04-13T08:01:00.000000000Z)",2023-04-13T08:01:00.000000000Z,"[2023-04-13T08:00:00.000000000Z,2023-04-13T08:01:00.000000000Z)",2023-04-13T08:01:00.000000000Z,data/minutes/2022_2023/raw/spot/klines/ETHUSDT/ETHUSDT-1m-2023-04.zip,17761,ms,data/minutes/2022_2023/raw/futures/klines/ETHUSDT/ETHUSDT-1m-2023-04.zip,17762,ms,1924.52000000,1923.88,-0.000332550454139213933864028433063828902791345374431026957371,-0.0003325504541392139338640284,-0.0003325504541392139338640284,negative,3.3063828902791345374431026957371E-29,3.3063828902791345374431026957371E-29,verified,run_f4151cc97937f3704d77fb14:signals.parquet:row=1348,run_f4151cc97937f3704d77fb14:signals.parquet:row=3538
early,ETHUSDT,nearest_zero,2023-04-16T16:01:00.002000000Z,2023-04-16T16:00:00.002000000Z,"[2023-04-16T16:00:00.000000000Z,2023-04-16T16:01:00.000000000Z)",2023-04-16T16:01:00.000000000Z,"[2023-04-16T16:00:00.000000000Z,2023-04-16T16:01:00.000000000Z)",2023-04-16T16:01:00.000000000Z,data/minutes/2022_2023/raw/spot/klines/ETHUSDT/ETHUSDT-1m-2023-04.zip,22561,ms,data/minutes/2022_2023/raw/futures/klines/ETHUSDT/ETHUSDT-1m-2023-04.zip,22562,ms,2093.88000000,2093.89,0.00000477582287428123865742067358205818862590024261180201349,0.000004775822874281238657421,0.000004775822874281238657421,positive_eligible,3.2641794181137409975738819798651E-28,3.2641794181137409975738819798651E-28,verified,run_f4151cc97937f3704d77fb14:signals.parquet:row=1368,run_f4151cc97937f3704d77fb14:signals.parquet:row=3558
early,ETHUSDT,temporal_grid_9/13,2023-05-11T08:01:00.000000000Z,2023-05-11T08:00:00.000000000Z,"[2023-05-11T08:00:00.000000000Z,2023-05-11T08:01:00.000000000Z)",2023-05-11T08:01:00.000000000Z,"[2023-05-11T08:00:00.000000000Z,2023-05-11T08:01:00.000000000Z)",2023-05-11T08:01:00.000000000Z,data/minutes/2022_2023/raw/spot/klines/ETHUSDT/ETHUSDT-1m-2023-05.zip,14881,ms,data/minutes/2022_2023/raw/futures/klines/ETHUSDT/ETHUSDT-1m-2023-05.zip,14882,ms,1825.40000000,1824.64,-0.000416347102005039991234797852525473868741097841568971184398,-0.0004163471020050399912347979,-0.0004163471020050399912347979,negative,-4.7474526131258902158431028815602E-29,-4.7474526131258902158431028815602E-29,verified,run_f4151cc97937f3704d77fb14:signals.parquet:row=1516,run_f4151cc97937f3704d77fb14:signals.parquet:row=3706
early,ETHUSDT,temporal_grid_10/13,2023-06-08T08:01:00.000000000Z,2023-06-08T08:00:00.000000000Z,"[2023-06-08T08:00:00.000000000Z,2023-06-08T08:01:00.000000000Z)",2023-06-08T08:01:00.000000000Z,"[2023-06-08T08:00:00.000000000Z,2023-06-08T08:01:00.000000000Z)",2023-06-08T08:01:00.000000000Z,data/minutes/2022_2023/raw/spot/klines/ETHUSDT/ETHUSDT-1m-2023-06.zip,10561,ms,data/minutes/2022_2023/raw/futures/klines/ETHUSDT/ETHUSDT-1m-2023-06.zip,10562,ms,1842.13000000,1841.37,-0.000412565888400927187549195767942544771541639297986569894633,-0.0004125658884009271875491958,-0.0004125658884009271875491958,negative,-3.2057455228458360702013430105367E-29,-3.2057455228458360702013430105367E-29,verified,run_f4151cc97937f3704d77fb14:signals.parquet:row=1684,run_f4151cc97937f3704d77fb14:signals.parquet:row=3874
