window,symbol,observations,original_source_covered,evaluated,verified,discrepancies,decision_discrepancies,source_to_normalized_discrepancies,normalized_to_signal_discrepancies,classification_discrepancies,max_absolute_error,nonzero_rounding_differences,minimum,median,maximum,negative,zero,positive_eligible,eligible_inclusive,above_max
early,BTCUSDT,1095,1095,1095,1095,0,0,0,0,0,4.9686714007661064550245740643636E-28,4380,-0.001669121133113512199821062155401410725315297674626525489199,-0.000429700028971378947440578908042389853739634975056833330868,0.00132037949362843031305020146918746933644376402617122821093,1044,0,51,51,0
early,ETHUSDT,1095,1095,1095,1095,0,0,0,0,0,4.9706457925636007827788649706458E-28,4368,-0.003106294074759369428429636618734568090333727491621583536029,-0.000440326898689587149499788643088628998168240101451317458081,0.00170918100718716761655323361061413701729469846481116009124,1006,3,86,89,0
late,BTCUSDT,1095,1095,1095,1095,0,0,0,0,0,4.9361821977183531000163645365192E-28,4376,-0.000905579176498892840614388701378220432758193204112317960000,-0.000469142477214070452130668201294796248216441748502026837292,0.00021682179248470406456658270961983561540024145106405820928,1090,0,5,5,0
late,ETHUSDT,1095,1095,1095,1095,0,0,0,0,0,4.9964732524037569142814715818391E-29,4380,-0.002181301414058030454625012082058730560947128910995065295364,-0.000476949765967296209184556179538855040002992625982539897783,-0.000023865873789304110896760207633101966945764801813806407987,1095,0,0,0,0
