file,rows,units,columns
evidencia/fills.csv,470,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,symbol;strategy;funding_filter_enabled;time_ns;timestamp_utc;fill_id;order_id;market;side;quantity;price;reference_price;trade_id;fee_rate;liquidation;participation;recent_volume_quantity;partial;remaining_quantity;window_start;window_end;slippage_rate;execution_model;window_base_volume;window_quote_volume;max_volume_participation;capacity_used;fill_reason;source_file;window_end_utc;window_start_utc;participation_window_seconds;purpose;rounding_cost;source_run_id
evidencia/forecast_publicaciones.csv,10226,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,time_ns;symbol;anchor;valid;forecast;no_change;history_start;reason
evidencia/funding_mercado_y_marks.csv,10316,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,available_at;economic_window;funding_rate;funding_time;interval_hours;interval_verified;settlement_mark_available_at;settlement_mark_close_time;settlement_mark_method;settlement_mark_price;settlement_mark_proxy_base;settlement_mark_source_file;settlement_mark_stress_bps;source_file;symbol
evidencia/funding_payments.csv,12061,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,symbol;strategy;funding_filter_enabled;time_ns;timestamp_utc;event_id;kind;amount_usdt;funding;short;debt;average;collateral;collateral_change;fee;free_futures;free_spot;pnl;spot;source_run_id
evidencia/h3_contraste_guardado.csv,1704,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,date;saved_complete;recomputed_complete;saved_opportunity;recomputed_opportunity;difference
evidencia/h3_muestra_minutos.csv,23316,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,symbol;time_ns;minute_utc;candle_open_utc;spot_close;future_close;mark_close;spot_base_volume;future_base_volume;forecast;forecast_available_at;cycle_cost;complete;eligible;funding_pass;basis_pass;operational;known_closure;forecast_valid;unknown_market_data
evidencia/ledger.csv,12531,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,symbol;strategy;funding_filter_enabled;time_ns;timestamp_utc;event_id;kind;amount_usdt;fee;free_spot;free_futures;debt;spot;short;average;collateral;base_fee_quantity;cash_futures_change;cash_spot_change;collateral_change;debt_change;fee_asset;funding;liquidation_fee;open_loss;pnl;price;quantity;reference_price;spot_cost;spot_proceeds;transfer_futures_to_spot;source_run_id
evidencia/orders.csv,2986,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,symbol;strategy;funding_filter_enabled;time_ns;timestamp_utc;order_id;market;side;quantity;submitted_at;deadline;purpose;status;action;record_type;deadline_utc;submitted_at_utc;window_end_utc;window_start_utc;cancel_requested_at;filled_quantity;recent_volume_quantity;reference_ids;remaining_quantity;vwap_notional;vwap_quantity;window_end;window_start;source_run_id
evidencia/positions.csv,7928,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,symbol;strategy;funding_filter_enabled;time_ns;timestamp_utc;state;snapshot_kind;spot;short;average;collateral;spot_cost;realized_spot;realized_futures;funding;fees;liquidation_fees;slippage;spot_price;mark_price;dust_spot;tradable_spot;mark_available_at_utc;mark_close_time_ns_utc;spot_price_time_ns_utc;mark_age_seconds;mark_available_at;mark_close_time_ns;spot_price_age_seconds;spot_price_time_ns;source_run_id
evidencia/renewal_diagnostics.csv,561,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,symbol;strategy;funding_filter_enabled;time_ns;timestamp_utc;decision_kind;decision;forecast;estimated_cycle_cost;basis;renewal_funding_threshold;actual_outcome;renewal_status_kind;state_after;expiry_after;mark_available_at_utc;mark_open_time_utc;available_cash;basis_above_max;basis_negative;basis_raw;budget_reason;budget_required_cash;cooldown_until;cost_futures_close_fee;cost_futures_open_fee;cost_slippage_per_order;cost_slippage_total;cost_spot_close_fee;cost_spot_open_fee;current_short;current_spot;data_valid;decision_time;entry_basis_filter_applied;entry_filter_order;entry_funding_cost_filter_applied;entry_simultaneous_not_evaluable;entry_simultaneous_rejections;entry_sizing_filter_applied;equity_snapshot;filter_basis_above_max;filter_basis_negative;filter_budget;filter_cooldown;filter_coverage;filter_data_valid;filter_debt;filter_forecast;filter_freshness;filter_funding;filter_funding_positive;filter_mark;filter_operational;filter_order;filter_pending_orders;filter_price_alignment;filter_rules;filter_sizing;filter_state_active;filter_state_holding;forecast_anchor;forecast_available_at;forecast_cost_gap;forecast_history_start;forecast_no_change;forecast_reason;funding_anchor;futures_available_at;futures_end_time;futures_open_time;futures_price;futures_price_time;latest_funding_available_at;latest_funding_time;mark_available_at;mark_open_time;mark_price;mark_time;planned_hedge_error;portfolio_state;price_alignment_enforced;proposed_futures_quantity;proposed_futures_side;proposed_gross_spot;proposed_net_spot;proposed_short;proposed_short_delta;proposed_spot_delta;proposed_spot_side;prospective_pair_feasible;prospective_sizing_reason;sequential_rejection;simultaneous_not_evaluable;simultaneous_rejections;sizing_enforcement;sizing_feasible;sizing_futures_price;sizing_futures_price_time;sizing_reason;sizing_spot_price;sizing_spot_price_time;spot_available_at;spot_end_time;spot_open_time;spot_price;spot_price_time;target_quantity;target_usdt;unallocated_target_usdt;source_run_id
