dataset,symbol,market,expected_start,expected_end,observed_start,observed_end,files,rows,duplicates_removed,conflicts,status,checks
trades,BTCUSDT,spot,1704067200000000000,1704067800000000000,1704067200000000000,1704067799999000000,1,11484,0,0,complete,sha256:data/research/research-scenario-20260918/pilot-data/processed/trades-BTCUSDT-spot.parquet;schema:data/research/research-scenario-20260918/pilot-data/processed/trades-BTCUSDT-spot.parquet
trades,BTCUSDT,futures,1704067200000000000,1704067800000000000,1704067200006000000,1704067799821000000,1,24994,0,0,complete,sha256:data/research/research-scenario-20260918/pilot-data/processed/trades-BTCUSDT-futures.parquet;schema:data/research/research-scenario-20260918/pilot-data/processed/trades-BTCUSDT-futures.parquet
marks,BTCUSDT,futures,1704067200000000000,1704067800000000000,1704067200000000000,1704067740000000000,1,10,0,0,complete,sha256:data/research/research-scenario-20260918/pilot-data/processed/marks-BTCUSDT-futures.parquet;schema:data/research/research-scenario-20260918/pilot-data/processed/marks-BTCUSDT-futures.parquet
funding,BTCUSDT,futures,1702771200000000000,1704067800000000000,1702742400001000000,1704067200000000000,1,50,0,0,complete,sha256:data/processed/dataset=funding/symbol=BTCUSDT/market=futures/date=all/part-00000.parquet;schema:data/processed/dataset=funding/symbol=BTCUSDT/market=futures/date=all/part-00000.parquet;causal_funding_mark_assumptions;independent_funding_calendar
trades,ETHUSDT,spot,1704067200000000000,1704067800000000000,1704067200000000000,1704067799999000000,1,5947,0,0,complete,sha256:data/research/research-scenario-20260918/pilot-data/processed/trades-ETHUSDT-spot.parquet;schema:data/research/research-scenario-20260918/pilot-data/processed/trades-ETHUSDT-spot.parquet
trades,ETHUSDT,futures,1704067200000000000,1704067800000000000,1704067203162000000,1704067799735000000,1,18968,0,0,complete,sha256:data/research/research-scenario-20260918/pilot-data/processed/trades-ETHUSDT-futures.parquet;schema:data/research/research-scenario-20260918/pilot-data/processed/trades-ETHUSDT-futures.parquet
marks,ETHUSDT,futures,1704067200000000000,1704067800000000000,1704067200000000000,1704067740000000000,1,10,0,0,complete,sha256:data/research/research-scenario-20260918/pilot-data/processed/marks-ETHUSDT-futures.parquet;schema:data/research/research-scenario-20260918/pilot-data/processed/marks-ETHUSDT-futures.parquet
funding,ETHUSDT,futures,1702771200000000000,1704067800000000000,1702742400001000000,1704067200000000000,1,50,0,0,complete,sha256:data/processed/dataset=funding/symbol=ETHUSDT/market=futures/date=all/part-00000.parquet;schema:data/processed/dataset=funding/symbol=ETHUSDT/market=futures/date=all/part-00000.parquet;causal_funding_mark_assumptions;independent_funding_calendar
