ventana,estrategia,run_id,simbolo,tipo,medida,valor,unidad,denominador,unidad_denominador,alcance
early,permanent,run_f4151cc97937f3704d77fb14,BTCUSDT,diagnóstico,filter_budget:not_evaluable,288,evaluaciones,1095,evaluaciones de entrada,simultaneous_filter_states
early,permanent,run_f4151cc97937f3704d77fb14,BTCUSDT,diagnóstico,filter_budget:reject,16,evaluaciones,1095,evaluaciones de entrada,simultaneous_filter_states
early,permanent,run_f4151cc97937f3704d77fb14,BTCUSDT,diagnóstico,filter_cooldown:reject,6,evaluaciones,1095,evaluaciones de entrada,simultaneous_filter_states
early,permanent,run_f4151cc97937f3704d77fb14,BTCUSDT,diagnóstico,filter_funding:diagnostic_fail_not_applied,1095,evaluaciones,1095,evaluaciones de entrada,theoretical_not_applied
early,permanent,run_f4151cc97937f3704d77fb14,BTCUSDT,diagnóstico,filter_sizing:reject,288,evaluaciones,1095,evaluaciones de entrada,simultaneous_filter_states
early,permanent,run_f4151cc97937f3704d77fb14,BTCUSDT,diagnóstico,filter_state_active:reject,713,evaluaciones,1095,evaluaciones de entrada,simultaneous_filter_states
early,permanent,run_f4151cc97937f3704d77fb14,BTCUSDT,diagnóstico,ordered_reject:basis_negative,373,evaluaciones,1095,evaluaciones de entrada,sequential_first_rejection
early,permanent,run_f4151cc97937f3704d77fb14,BTCUSDT,diagnóstico,ordered_reject:cooldown,6,evaluaciones,1095,evaluaciones de entrada,sequential_first_rejection
early,permanent,run_f4151cc97937f3704d77fb14,BTCUSDT,diagnóstico,ordered_reject:state_active,713,evaluaciones,1095,evaluaciones de entrada,sequential_first_rejection
early,permanent,run_f4151cc97937f3704d77fb14,BTCUSDT,diagnóstico,simultaneous_reject,1092,evaluaciones,1095,evaluaciones de entrada,simultaneous_filter_states
early,permanent,run_f4151cc97937f3704d77fb14,ETHUSDT,diagnóstico,filter_basis_negative:reject,1006,evaluaciones,1095,evaluaciones de entrada,simultaneous_filter_states
early,permanent,run_f4151cc97937f3704d77fb14,ETHUSDT,diagnóstico,filter_budget:not_evaluable,51,evaluaciones,1095,evaluaciones de entrada,simultaneous_filter_states
early,permanent,run_f4151cc97937f3704d77fb14,ETHUSDT,diagnóstico,filter_budget:reject,184,evaluaciones,1095,evaluaciones de entrada,simultaneous_filter_states
early,permanent,run_f4151cc97937f3704d77fb14,ETHUSDT,diagnóstico,filter_cooldown:reject,6,evaluaciones,1095,evaluaciones de entrada,simultaneous_filter_states
early,permanent,run_f4151cc97937f3704d77fb14,ETHUSDT,diagnóstico,filter_funding:diagnostic_fail_not_applied,1087,evaluaciones,1095,evaluaciones de entrada,theoretical_not_applied
early,permanent,run_f4151cc97937f3704d77fb14,ETHUSDT,diagnóstico,filter_sizing:reject,51,evaluaciones,1095,evaluaciones de entrada,simultaneous_filter_states
early,permanent,run_f4151cc97937f3704d77fb14,ETHUSDT,diagnóstico,filter_state_active:reject,984,evaluaciones,1095,evaluaciones de entrada,simultaneous_filter_states
early,permanent,run_f4151cc97937f3704d77fb14,ETHUSDT,diagnóstico,ordered_reject:basis_negative,102,evaluaciones,1095,evaluaciones de entrada,sequential_first_rejection
early,permanent,run_f4151cc97937f3704d77fb14,ETHUSDT,diagnóstico,ordered_reject:cooldown,6,evaluaciones,1095,evaluaciones de entrada,sequential_first_rejection
early,permanent,run_f4151cc97937f3704d77fb14,ETHUSDT,diagnóstico,ordered_reject:state_active,984,evaluaciones,1095,evaluaciones de entrada,sequential_first_rejection
