symbol,open_time,present_in_api
ETHUSDT,2022-07-12T12:57:00.000000000Z,False
ETHUSDT,2022-07-12T13:07:00.000000000Z,False
ETHUSDT,2022-07-12T13:15:00.000000000Z,False
ETHUSDT,2022-07-12T13:16:00.000000000Z,False
ETHUSDT,2022-07-12T13:17:00.000000000Z,False
ETHUSDT,2022-07-12T13:18:00.000000000Z,False
ETHUSDT,2022-07-12T13:19:00.000000000Z,False
ETHUSDT,2022-07-12T13:20:00.000000000Z,False
ETHUSDT,2022-07-12T13:21:00.000000000Z,False
ETHUSDT,2022-07-12T13:52:00.000000000Z,False
ETHUSDT,2022-07-13T06:59:00.000000000Z,False
BTCUSDT,2024-08-12T10:02:00.000000000Z,False
BTCUSDT,2024-08-12T10:03:00.000000000Z,False
ETHUSDT,2024-08-12T10:02:00.000000000Z,False
ETHUSDT,2024-08-12T10:03:00.000000000Z,False
