strategy,scenario,capital_usdt,base_final_equity_usdt,base_funding_usdt,delta_usdt,adjusted_funding_usdt,adjusted_final_equity_usdt,delta_return_bps,delta_return_percentage_points,net_return
conditional,base,10000,10785.76304964716593690000000,850.9550632121659369000,0,850.9550632121659369000,10785.76304964716593690000000,0,0,0.07857630496471659369000
conditional,favorable,10000,10785.76304964716593690000000,850.9550632121659369000,0.005969644474237588643307188959,850.9610328566401744886433072,10785.76901929164017448864331,0.005969644474237588643307188959,0.00005969644474237588643307188959,0.078576901929164017448864331
conditional,adverse,10000,10785.76304964716593690000000,850.9550632121659369000,-0.005969644474237588643307188959,850.9490935676916993113566928,10785.75708000269169931135669,-0.005969644474237588643307188959,-0.00005969644474237588643307188959,0.078575708000269169931135669
permanent,base,10000,11680.06921675742584680269999,1796.4187642363658468027,0,1796.4187642363658468027,11680.06921675742584680269999,0,0,0.168006921675742584680269999
permanent,favorable,10000,11680.06921675742584680269999,1796.4187642363658468027,0.07433930275850364413077872223,1796.493103539124350446830779,11680.14355606018435044683077,0.07433930275850364413077872223,0.0007433930275850364413077872223,0.168014355606018435044683077
permanent,adverse,10000,11680.06921675742584680269999,1796.4187642363658468027,-0.07433930275850364413077875000,1796.344424933607343158569221,11679.99487745466734315856921,-0.07433930275850364413077875000,-0.000743393027585036441307787500,0.167999487745466734315856921
