strategy,symbol,year,funding_time,funding_time_utc,price_method,event_id,short_before,prior_ledger_event_id,prior_ledger_time_ns,p95_abs_bps,base_funding_usdt,known_proxy_delta_usdt,favorable_price,adverse_price,favorable_delta_usdt,adverse_delta_usdt
conditional,ETHUSDT,2023,1673827200010000000,2023-01-16T00:00:00.010000000Z,previous_closed_1m,funding:ETHUSDT:1673827200010000000,1.925,fill:fill-conditional-00000004-1673798580000000000,1673798580000000000,1.135601893930837155781560200,0.4241217305325000000,,1553.606407805008898036290575,1553.253592194991101963709425,0.00004816334404499311633765258558,-0.00004816334404499311633765258558
conditional,ETHUSDT,2023,1673856000007000000,2023-01-16T08:00:00.007000000Z,previous_closed_1m,funding:ETHUSDT:1673856000007000000,1.925,funding:ETHUSDT:1673827200010000000,1673827200010000000,1.135601893930837155781560200,0.3015704240587500000,,1566.777508847903710233253213,1566.421702152096289766746787,0.00003424639447146421990124350250,-0.00003424639447146421990124350250
conditional,ETHUSDT,2023,1673884800000000000,2023-01-16T16:00:00.000000000Z,previous_closed_1m,funding:ETHUSDT:1673884800000000000,1.925,funding:ETHUSDT:1673856000007000000,1673856000007000000,1.135601893930837155781560200,0.2983879301018000000,,1550.243195281324522771367744,1549.891143438675477228632256,0.00003388498985497063348829072000,-0.00003388498985497063348829072000
conditional,ETHUSDT,2023,1673913600004000000,2023-01-17T00:00:00.004000000Z,previous_closed_1m,funding:ETHUSDT:1673913600004000000,1.925,funding:ETHUSDT:1673884800000000000,1673884800000000000,1.135601893930837155781560200,0.3035917500000000000,,1577.279095774691832327838310,1576.920904225308167672161690,0.00003447593662817772310887467500,-0.00003447593662817772310887467500
conditional,ETHUSDT,2023,1673942400005000000,2023-01-17T08:00:00.005000000Z,previous_closed_1m,funding:ETHUSDT:1673942400005000000,1.925,funding:ETHUSDT:1673913600004000000,1673913600004000000,1.135601893930837155781560200,0.3009987750000000000,,1563.807566118940707490189472,1563.452433881059292509810528,0.00003418147789608619186147336000,-0.00003418147789608619186147336000
conditional,ETHUSDT,2023,1673971200001000000,2023-01-17T16:00:00.001000000Z,previous_closed_1m,funding:ETHUSDT:1673971200001000000,1.925,funding:ETHUSDT:1673942400005000000,1673942400005000000,1.135601893930837155781560200,0.3025369014283000000,,1571.798740655192698427333187,1571.441793664807301572666813,0.00003435614782459444726163849750,-0.00003435614782459444726163849750
conditional,ETHUSDT,2023,1674000000008000000,2023-01-18T00:00:00.008000000Z,previous_closed_1m,funding:ETHUSDT:1674000000008000000,1.925,funding:ETHUSDT:1673971200001000000,1673971200001000000,1.135601893930837155781560200,0.3013134122286750000,,1565.442230840697998129101066,1565.086727379302001870898934,0.00003421720815936463985195520500,-0.00003421720815936463985195520500
conditional,ETHUSDT,2023,1674028800009000000,2023-01-18T08:00:00.009000000Z,previous_closed_1m,funding:ETHUSDT:1674028800009000000,1.925,funding:ETHUSDT:1674000000008000000,1674000000008000000,1.135601893930837155781560200,0.3047612173817750000,,1583.354940900470343510898832,1582.995369559529656489101168,0.00003460874156554112584802516000,-0.00003460874156554112584802516000
conditional,ETHUSDT,2023,1674057600017000000,2023-01-18T16:00:00.017000000Z,previous_closed_1m,funding:ETHUSDT:1674057600017000000,1.925,funding:ETHUSDT:1674028800009000000,1674028800009000000,1.135601893930837155781560200,0.2983277306836750000,,1549.930435518299464961307602,1549.578454701700535038692398,0.00003387815359764700505171338500,-0.00003387815359764700505171338500
conditional,ETHUSDT,2023,1674086400000000000,2023-01-19T00:00:00.000000000Z,previous_closed_1m,funding:ETHUSDT:1674086400000000000,1.925,funding:ETHUSDT:1674057600017000000,1674057600017000000,1.135601893930837155781560200,0.2910648920179000000,,1512.197118972276520439542083,1511.853707187723479560457917,0.00003305338426323018461185097750,-0.00003305338426323018461185097750
