period,symbol,total_observations,valid_observations,excluded_observations,exclusion_counts,mae_ewma,mae_no_change
full,BTCUSDT,5112,5090,22,"{""funding_calendar_boundary_unverified"": 1, ""horizon_outside_sample"": 21}",0.0005738673687550344262798276316,0.0007883688661062381805536407326
full,ETHUSDT,5112,5090,22,"{""funding_calendar_boundary_unverified"": 1, ""horizon_outside_sample"": 21}",0.0006859281684077233789937809534,0.0009522955567889761793375175597
full,EQUAL_WEIGHT,10224,10180,44,"{""funding_calendar_boundary_unverified"": 2, ""horizon_outside_sample"": 42}",0.0006298977685813789026368042925,0.000870332211447607179945579146
2022-2023,BTCUSDT,2190,2190,0,{},0.0006289535940745395066378991543,0.0008781982522651851729194909575
2022-2023,ETHUSDT,2190,2190,0,{},0.0008478924536525869457254306959,0.001177098409233068068447579987
2022-2023,EQUAL_WEIGHT,4380,4380,0,{},0.000738423023863563226181664925,0.001027648330749126620683535472
2024-2026-08,BTCUSDT,2922,2900,22,"{""funding_calendar_boundary_unverified"": 1, ""horizon_outside_sample"": 21}",0.0005322677710137530035266632721,0.0007205321917310333828704641841
2024-2026-08,ETHUSDT,2922,2900,22,"{""funding_calendar_boundary_unverified"": 1, ""horizon_outside_sample"": 21}",0.0005636172081710850303240178741,0.0007825306440811964423888842141
2024-2026-08,EQUAL_WEIGHT,5844,5800,44,"{""funding_calendar_boundary_unverified"": 2, ""horizon_outside_sample"": 42}",0.000547942489592419016925340573,0.000751531417906114912629674199
