time_ns,date,symbol,spot_pnl_usdt,futures_pnl_usdt,funding_usdt,fees_usdt,liquidation_fees_usdt,slippage_informational_usdt,net_pnl_usdt,strategy,source_run_id
1641081599999999999,2022-01-01,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1641081599999999999,2022-01-01,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1641167999999999999,2022-01-02,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1641167999999999999,2022-01-02,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1641254399999999999,2022-01-03,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1641254399999999999,2022-01-03,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1641340799999999999,2022-01-04,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1641340799999999999,2022-01-04,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1641427199999999999,2022-01-05,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1641427199999999999,2022-01-05,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1641513599999999999,2022-01-06,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1641513599999999999,2022-01-06,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1641599999999999999,2022-01-07,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1641599999999999999,2022-01-07,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1641686399999999999,2022-01-08,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1641686399999999999,2022-01-08,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1641772799999999999,2022-01-09,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1641772799999999999,2022-01-09,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1641859199999999999,2022-01-10,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1641859199999999999,2022-01-10,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1641945599999999999,2022-01-11,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1641945599999999999,2022-01-11,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1642031999999999999,2022-01-12,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1642031999999999999,2022-01-12,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1642118399999999999,2022-01-13,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1642118399999999999,2022-01-13,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1642204799999999999,2022-01-14,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1642204799999999999,2022-01-14,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1642291199999999999,2022-01-15,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1642291199999999999,2022-01-15,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1642377599999999999,2022-01-16,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1642377599999999999,2022-01-16,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1642463999999999999,2022-01-17,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1642463999999999999,2022-01-17,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1642550399999999999,2022-01-18,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1642550399999999999,2022-01-18,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1642636799999999999,2022-01-19,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1642636799999999999,2022-01-19,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1642723199999999999,2022-01-20,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1642723199999999999,2022-01-20,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1642809599999999999,2022-01-21,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1642809599999999999,2022-01-21,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1642895999999999999,2022-01-22,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1642895999999999999,2022-01-22,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1642982399999999999,2022-01-23,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1642982399999999999,2022-01-23,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1643068799999999999,2022-01-24,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1643068799999999999,2022-01-24,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1643155199999999999,2022-01-25,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1643155199999999999,2022-01-25,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1643241599999999999,2022-01-26,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1643241599999999999,2022-01-26,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1643327999999999999,2022-01-27,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1643327999999999999,2022-01-27,ETHUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
1643414399999999999,2022-01-28,BTCUSDT,0,0E-8,0,0,0,0,0E-8,conditional,run_ad71d751b20623006c195ff3
