period,start_utc,end_exclusive_utc,days,starting_equity_usdt,final_equity_usdt,net_pnl_usdt,spot_pnl_usdt,futures_pnl_usdt,funding_usdt,fees_usdt,liquidation_fees_usdt,slippage_informational_usdt,observations,net_return,cagr,sharpe,annual_volatility,max_drawdown,max_drawdown_days,cagr_reason,sharpe_reason,capital_deployed_daily_mean_usdt,capital_deployed_daily_max_usdt,capital_utilization_daily_mean,capital_utilization_daily_max,strategy,source_run_id
full,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,1704,10000,10785.76304964716593690000000,785.76304964716593690000000,2211.193604481400000000000000,-2161.487989999999999999999999,850.9550632121659369000,-114.8976280464,0,15.34780638071242939671804124,1704,0.07857630496471657,0.016334619265711003,4.9623712776539515,0.003266247075576439,-0.002061655870670309,493.0,,,2074.621944697141096005307256,10811.78313932300831556503198,0.1980684995507296294809487908,1.027404422248366286570557463,conditional,run_ad71d751b20623006c195ff3
2022-2023,2022-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,730,10000,10217.44071106276812412970000,217.44071106276812412970000,1285.579227767000000000000000,-1241.311098371979999999999999,200.8804361967481241297,-27.7078545290,0,3.590470572963450080154911384,730,0.021744071106276852,0.010813568916779426,3.337436835297611,0.0032242892635431903,-0.0012238200504499641,206.0,,,1051.040075854035127333250440,9667.791514294600000000000000,0.1042204491765538707102810628,0.9548969513606498846595167728,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,2024-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,974,10217.44071106276812412970000,10785.76304964716593690000000,568.32233858439781277030000,925.614376714400000000000000,-920.176891628020000000000000,650.0746270154178127703,-87.1897735174,0,11.75733580774897931656312986,974,0.05562276842664282,0.02049233427612318,6.181079222662003,0.00328278204970037,-0.002061655870670309,493.0,,,2841.782893624725651580873451,10811.78313932300831556503198,0.2684063607141262453973630015,1.027404422248366286570557463,conditional,run_ad71d751b20623006c195ff3
full,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,1704,10000,11680.06921675742584680269999,1680.06921675742584680269999,2428.905414540999999999999999,-2316.046982739940000000000011,1796.4187642363658468027,-229.2079792800,0,30.50942939449756667191741646,1704,0.1680069216757425,0.033824773314583556,6.53363238149248,0.005093606267896308,-0.004827489905230298,154.0,,,8972.082859564201407067601849,11390.83998844402393747073389,0.8263087072301911798676557582,1.017766999987309199564364091,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,2022-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,730,10000,10616.65659629191340324689999,616.65659629191340324689999,-845.8722407020000000000000000,952.9001168552599999999999910,598.0126099816534032469,-88.3838898430,0,11.98240190820243118013510424,730,0.06166565962919135,0.030371612394863856,4.616517824854081,0.006485774808273825,-0.004827489905230298,145.0,,,8312.755964329959247043391764,10325.58523295060592307040900,0.8135405799590527780166061842,1.000638652642149293476138527,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,2024-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,974,10616.65659629191340324689999,11680.06921675742584680269999,1063.41262046551244355580000,3274.777655242999999999999999,-3268.947099595200000000000003,1198.4061542547124435558,-140.8240894370,0,18.52702748629513549178231223,974,0.1001645490574623,0.036420456461579764,9.61345768430849,0.003722030129488574,-0.0032319829498531627,154.0,,,9466.239567491302820638107259,11390.83998844402393747073389,0.8358782482034263270455471232,1.017766999987309199564364091,permanent,run_dfea4b7ac1475668d5968c97
