period,symbol,kind,cause,purpose,count,strategy,source_run_id
2024-2026-08,BTCUSDT,transition,opening_complete,,3,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,transition,ordinary_close_complete,,1,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,transition,perpetual_closed_waiting_spot,,4,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,transition,rebalance_complete,,13,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,transition,renewal_rebalance,,13,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,transition,spot_filled_waiting_hedge,,3,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,transition,unwind_complete,,47,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,attempt_failed,timeout,close_spot,2,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,close_requested,holding_expiry,,2,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,close_requested,margin,,2,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,close_requested,real_market_inactivity,,44,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,renewal,,,47,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,transition,cooldown_elapsed,,3,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,transition,entry,,3,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,transition,holding_expiry,,2,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,transition,margin,,2,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,transition,opening_complete,,3,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,transition,ordinary_close_complete,,2,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,transition,perpetual_closed_waiting_spot,,4,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,transition,rebalance_complete,,26,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,transition,renewal_rebalance,,26,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,transition,spot_filled_waiting_hedge,,3,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,transition,unwind_complete,,46,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,attempt_failed,timeout,close_perp,115,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,attempt_failed,timeout,close_spot,120,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,attempt_failed,timeout,open_perp,1,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,close_requested,margin,,3,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,close_requested,opening_or_second_leg_failed,,1,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,close_requested,real_market_inactivity,,4,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,rebalance_skipped,joint_sizing:insufficient_cash,,75,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,rebalance_skipped,joint_sizing:market_rules,,1,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,renewal,,,234,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,transition,cooldown_elapsed,,8,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,transition,entry,,9,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,transition,margin,,3,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,transition,opening_complete,,8,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,transition,opening_or_second_leg_failed,,1,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,transition,perpetual_closed_waiting_spot,,7,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,transition,real_market_inactivity,,4,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,transition,rebalance_complete,,60,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,transition,renewal_rebalance,,60,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,transition,spot_filled_waiting_hedge,,9,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,transition,unwind_complete,,8,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,attempt_failed,timeout,close_perp,47,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,attempt_failed,timeout,close_spot,122,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,attempt_failed,timeout,open_perp,1,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,attempt_failed,timeout,open_spot,1,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,close_requested,basis_widening,,3,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,close_requested,margin,,4,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,close_requested,opening_or_second_leg_failed,,2,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,close_requested,real_market_inactivity,,3,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,rebalance_skipped,joint_sizing:insufficient_cash,,90,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,renewal,,,224,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,transition,basis_widening,,1,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,transition,cooldown_elapsed,,10,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,transition,entry,,11,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,transition,margin,,4,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,transition,opening_complete,,9,permanent,run_dfea4b7ac1475668d5968c97
