symbol,time_ns,signal_utc,anchor,history_start,horizon_end,horizon_end_utc,forecast,no_change,realized,horizon_valid,realized_funding_events,reason,error_ewma,error_no_change,absolute_error_ewma,absolute_error_no_change
BTCUSDT,1640995260006000000,2022-01-01T00:01:00.006000000Z,1640995200006000000,1639756800006000000,1641600060006000000,2022-01-08T00:01:00.006000000Z,0.001815306428948212415256468724,0.002099999562500091145814344622,0.00210000,True,21,,-0.000284693571051787584743531276,-4.37499908854185655378E-10,0.000284693571051787584743531276,4.37499908854185655378E-10
ETHUSDT,1640995260006000000,2022-01-01T00:01:00.006000000Z,1640995200006000000,1639756800006000000,1641600060006000000,2022-01-08T00:01:00.006000000Z,0.001540464097879629727512155169,0.002099999562500091145814344622,0.00163947,True,21,,-0.000099005902120370272487844831,0.000460529562500091145814344622,0.000099005902120370272487844831,0.000460529562500091145814344622
BTCUSDT,1641024060009000000,2022-01-01T08:01:00.009000000Z,1641024000009000000,1639785600014000000,1641628860009000000,2022-01-08T08:01:00.009000000Z,0.001874040372795722793898060191,0.002099999781250022786455959744,0.00210000,True,21,,-0.000225959627204277206101939809,-2.18749977213544040256E-10,0.000225959627204277206101939809,2.18749977213544040256E-10
ETHUSDT,1641024060009000000,2022-01-01T08:01:00.009000000Z,1641024000009000000,1639785600014000000,1641628860009000000,2022-01-08T08:01:00.009000000Z,0.001655896026745378892856430834,0.002099999781250022786455959744,0.00163947,True,21,,0.000016426026745378892856430834,0.000460529781250022786455959744,0.000016426026745378892856430834,0.000460529781250022786455959744
BTCUSDT,1641052860000000000,2022-01-01T16:01:00.000000000Z,1641052800000000000,1639843200000000000,1641657660000000000,2022-01-08T16:01:00.000000000Z,0.001920659448443394750032589783,0.002100000656250205078189086934,0.00210000,True,21,,-0.000179340551556605249967410217,6.56250205078189086934E-10,0.000179340551556605249967410217,6.56250205078189086934E-10
ETHUSDT,1641052860000000000,2022-01-01T16:01:00.000000000Z,1641052800000000000,1639843200000000000,1641657660000000000,2022-01-08T16:01:00.000000000Z,0.001747519719951265846834811716,0.002100000656250205078189086934,0.00163947,True,21,,0.000108049719951265846834811716,0.000460530656250205078189086934,0.000108049719951265846834811716,0.000460530656250205078189086934
BTCUSDT,1641081660028000000,2022-01-02T00:01:00.028000000Z,1641081600028000000,1639843200000000000,1641686460028000000,2022-01-09T00:01:00.028000000Z,0.001957658716371901069762689421,0.002099997958335318285107222812,0.00210000,True,21,,-0.000142341283628098930237310579,-2.041664681714892777188E-9,0.000142341283628098930237310579,2.041664681714892777188E-9
ETHUSDT,1641081660028000000,2022-01-02T00:01:00.028000000Z,1641081600028000000,1639843200000000000,1641686460028000000,2022-01-09T00:01:00.028000000Z,0.001554917163445715396380689784,0.0008139592086507693673075595621,0.00170071,True,21,,-0.000145792836554284603619310216,-0.0008867507913492306326924404379,0.000145792836554284603619310216,0.0008867507913492306326924404379
BTCUSDT,1641110460000000000,2022-01-02T08:01:00.000000000Z,1641110400000000000,1639900800000000000,1641715260000000000,2022-01-09T08:01:00.000000000Z,0.001987028747205889261350229728,0.002100002041668651622300188347,0.00210000,True,21,,-0.000112971252794110738649770272,2.041668651622300188347E-9,0.000112971252794110738649770272,2.041668651622300188347E-9
ETHUSDT,1641110460000000000,2022-01-02T08:01:00.000000000Z,1641110400000000000,1639900800000000000,1641715260000000000,2022-01-09T08:01:00.000000000Z,0.001332164524480435504839175269,0.0004752304620296158621265326230,0.00160574,True,21,,-0.000273575475519564495160824731,-0.001130509537970384137873467377,0.000273575475519564495160824731,0.001130509537970384137873467377
BTCUSDT,1641139260000000000,2022-01-02T16:01:00.000000000Z,1641139200000000000,1639900800000000000,1641744060000000000,2022-01-09T16:01:00.000000000Z,0.002010335786455687465594620450,0.00210000,0.00210000,True,21,,-0.000089664213544312534405379550,0E-8,0.000089664213544312534405379550,0E-8
ETHUSDT,1641139260000000000,2022-01-02T16:01:00.000000000Z,1641139200000000000,1639900800000000000,1641744060000000000,2022-01-09T16:01:00.000000000Z,0.001348210341586756088028162835,0.00140994,0.00159330,True,21,,-0.000245089658413243911971837165,-0.00018336,0.000245089658413243911971837165,0.00018336
