cagr,capital_deployed_daily_avg_usdt,capital_deployed_daily_max_usdt,capital_usdt,closes,complete_cycles,covered_asset_seconds,dust_asset_seconds,end,failed_attempts,failed_cycles,fees_usdt,fills,final_equity_usdt,funding_usdt,futures_pnl_usdt,liquidation_fees_usdt,max_drawdown,native_fills,net_return,opening_attempts,openings,orders,partial_fills,reconciliation_residual_usdt,run_id,scenario,sharpe,slippage_informational_usdt,spot_pnl_usdt,start,status,strategy,unhedged_asset_seconds,window
0.011181548970869981,846.4425110961933469582220548,5438.417575307943717848379757,10000,1,1,5975400.000000000,13860000.000000000,2023-09-01T00:00:00Z,60,0,-12.094010171,16,10111.81548970869890572370000,53.5876120526989057237,-517.1415600000000000000000002,0,-0.0004140145392963479,16,0.011181548970869981,1,1,76,0,3E-25,run_8e60a7bd388ef9b8d7edb5d4,alignment_only,1.7047035915840427,1.656388000000,587.4634478269999999999999999,2022-09-01T00:00:00Z,complete,conditional,7680,early
0.020195400317567058,5629.349732680071416071421148,10150.91642843657103448275862,10000,131,6,38326200.000000000,14482620.000000000,2023-09-01T00:00:00Z,60,2,-91.1839643105,88,10201.95400317567185527060000,219.4220020083718552706,-1171.439907085400000000000000,0,-0.0019934935409590127,88,0.020195400317567058,9,7,148,0,-1E-24,run_8e60a7bd388ef9b8d7edb5d4,alignment_only,2.6814132014777936,12.3652281000000,1245.155872563200000000000001,2022-09-01T00:00:00Z,complete,permanent,10140,early
0.01118602046702799,846.50634121460617650668052,5438.317366013603383886359029,10000,1,1,5975400.000000000,13860000.000000000,2023-09-01T00:00:00Z,60,0,-12.107033235,16,10111.86020467028027636480000,53.6016988102802763648,-517.3146000000000000000000008,0,-0.00041388754728088895,16,0.01118602046702799,1,1,76,0,-1E-25,run_705a1462342ca73175ba77ec,joint_sizing_only,1.7048780012101465,1.658238000000,587.6801390950000000000000009,2022-09-01T00:00:00Z,complete,conditional,7680,early
0.035015638615423894,7137.311353163654710057832381,11052.50173950300790077438957,10000,5,4,48390960.000000000,4411320.000000000,2023-09-01T00:00:00Z,120,0,-60.7150685958,76,10350.15638615423750695820000,281.5886528246375069582,-1116.829718667900000000000001,0,-0.0013767766413639304,76,0.035015638615423894,6,6,196,0,2E-24,run_705a1462342ca73175ba77ec,joint_sizing_only,2.9637323802164866,8.2546738000000,1246.112520593299999999999999,2022-09-01T00:00:00Z,complete,permanent,16680,early
0.011181548970869981,846.4425110961933469582220548,5438.417575307943717848379757,10000,1,1,5975400.000000000,13860000.000000000,2023-09-01T00:00:00Z,60,0,-12.094010171,16,10111.81548970869890572370000,53.5876120526989057237,-517.1415600000000000000000002,0,-0.0004140145392963479,16,0.011181548970869981,1,1,76,0,3E-25,run_8fb22fa8b377466cff981b99,legacy_reference,1.7047035915840427,1.656388000000,587.4634478269999999999999999,2022-09-01T00:00:00Z,complete,conditional,7680,early
0.020543965712265022,5538.046141513219566243654066,10184.13851268507504984834390,10000,130,5,37721340.000000000,15087720.000000000,2023-09-01T00:00:00Z,60,2,-81.8448272645,82,10205.43965712264900217360000,210.0754531735890021736,-923.0638750727399999999999995,0,-0.0013957593111859623,82,0.020543965712265022,8,6,142,0,1.5E-24,run_8fb22fa8b377466cff981b99,legacy_reference,2.795835970380498,11.0888707000000,1000.272906286299999999999998,2022-09-01T00:00:00Z,complete,permanent,9900,early
0.00736363177009669,842.5147340091264190500625236,5298.486771938165559529892693,10000,2,1,5860260.000000000,13975020.000000000,2023-09-01T00:00:00Z,121,1,-17.098595206,18,10073.63631770096690445460000,51.2707622339669044546,-472.3086499999999999999999989,0,-0.0012238200504499641,18,0.00736363177009669,2,1,138,1,-1.2E-24,run_f4151cc97937f3704d77fb14,vwap_joint,1.9181736175616881,2.160014946032706543719342500,511.7728006730000000000000001,2022-09-01T00:00:00Z,complete,conditional,7740,early
0.03343990159715049,7187.874168040020271649548277,10536.70518614061608820136202,10000,6,4,48966840.000000000,3835440.000000000,2023-09-01T00:00:00Z,240,0,-59.1470283920,72,10334.39901597150466630770000,286.4577636637046663077,-1107.733089364199999999999999,0,-0.0013593578430675102,72,0.03343990159715049,6,6,312,0,-2E-24,run_f4151cc97937f3704d77fb14,vwap_joint,4.110076292959999,8.053750550718323267728835638,1214.821370064000000000000001,2022-09-01T00:00:00Z,complete,permanent,16560,early
0.007368913903890162,842.4178239036969696571338756,5297.227503859165559529892693,10000,2,1,5860260.000000000,13975020.000000000,2023-09-01T00:00:00Z,121,1,-17.086656393,18,10073.68913903890054477700000,51.2566434839005447770,-471.8773799999999999999999991,0,-0.0012234444420878843,18,0.007368913903890162,2,1,138,1,-1.3E-24,run_47cc0b884944c31d9695906c,vwap_only,1.9206871565642125,2.158450223774115606344045019,511.3965319480000000000000004,2022-09-01T00:00:00Z,complete,conditional,7740,early
0.023343562828674225,5989.860622174242263090894696,10217.44769114694458692346680,10000,11,6,40874460.000000000,11926920.000000000,2023-09-01T00:00:00Z,240,3,-101.0125407576,92,10233.43562828674307058200000,229.6262884678430705820,-714.7014070221000000000000003,0,-0.002016884370168892,92,0.023343562828674225,10,7,332,0,7E-25,run_47cc0b884944c31d9695906c,vwap_only,2.7496025286574253,13.68550127201127700488219359,819.5232875985999999999999996,2022-09-01T00:00:00Z,complete,permanent,17460,early
0.0,0E-8,0E-8,10000,0,0,0,0,2026-09-01T00:00:00Z,0,0,0,0,10000,0,0,0,0.0,0,0.0,0,0,0,0,0,run_497651aa331a8648bf0ed438,alignment_only,,0,0,2025-09-01T00:00:00Z,complete,conditional,0,late
-0.0020329706168600303,0.004018376948767123287671232877,0.1444636080000000,10000,2,0,0,921120.000000000,2026-09-01T00:00:00Z,0,2,-17.9176684230,8,9979.6702938314000000,0,-11.7919,0,-0.002033233685060032,8,-0.0020329706168600303,2,0,8,0,0E-24,run_497651aa331a8648bf0ed438,alignment_only,-1.344174683149752,2.3943107000000,9.379862254400000000000000,2025-09-01T00:00:00Z,complete,permanent,360,late
0.0,0E-8,0E-8,10000,0,0,0,0,2026-09-01T00:00:00Z,0,0,0,0,10000,0,0,0,0.0,0,0.0,0,0,0,0,0,run_60882c5937ce61428a302648,joint_sizing_only,,0,0,2025-09-01T00:00:00Z,complete,conditional,0,late
