symbol,strategy,funding_filter_enabled,time_ns,timestamp_utc,equity,free_spot,free_futures,debt,status,partial_day,BTCUSDT_average,BTCUSDT_collateral,BTCUSDT_fees,BTCUSDT_funding,BTCUSDT_liquidation_fees,BTCUSDT_mark,BTCUSDT_realized_futures,BTCUSDT_realized_spot,BTCUSDT_short,BTCUSDT_slippage,BTCUSDT_spot,BTCUSDT_spot_cost,BTCUSDT_spot_price,ETHUSDT_average,ETHUSDT_collateral,ETHUSDT_fees,ETHUSDT_funding,ETHUSDT_liquidation_fees,ETHUSDT_mark,ETHUSDT_realized_futures,ETHUSDT_realized_spot,ETHUSDT_short,ETHUSDT_slippage,ETHUSDT_spot,ETHUSDT_spot_cost,ETHUSDT_spot_price,source_run_id
PORTFOLIO,conditional,True,1679702399999999999,2023-03-24T23:59:59.999999999Z,10073.63724956096690445460000,8776.949259318065447167434902,1296.672246542901457287165100,0E-26,complete,False,0,0,0,0,0,27444.24711538,0,0,0,0,0,0,27460.01000000,0,0E-24,17.098595206,51.2707622339669044546,0,1748.83602315,-472.3086499999999999999999989,511.7719257947493697808138301,0.000,2.160014946032706543719342500,0.0000090,0.013936961749369780813830,1749.30000000,run_ad71d751b20623006c195ff3
PORTFOLIO,permanent,False,1679702399999999999,2023-03-24T23:59:59.999999999Z,10296.99244629967741116769999,7370.968826820000000000000000,2925.796409292477411167699993,0E-26,complete,False,0,0E-24,24.3636784438,176.1457252122221123136,0,27444.24711538,1225.838799999999999999999996,-1179.023360056276848622324626,0.000,3.279104163297163729089557356,0.00000772,0.202534519923151377675374,27460.01000000,0,0E-24,38.255887871,67.4706757862552988541,0,1748.83602315,1279.465759999999999999999997,-1210.296783353462237329788402,0.000,5.234725930564468610615614188,0.0000087,0.013480641537762670211598,1749.30000000,run_dfea4b7ac1475668d5968c97
