symbol,strategy,funding_filter_enabled,time_ns,timestamp_utc,event_id,kind,amount_usdt,funding,short,debt,average,collateral,collateral_change,fee,free_futures,free_spot,pnl,spot,source_run_id
ETHUSDT,conditional,True,1673827200010000000,2023-01-16T00:00:00.010000000Z,funding:ETHUSDT:1673827200010000000,funding,0.4241217305325000000,0.4241217305325000000,1.925,0,1555.82,1497.78475000000,0,0,0.4241217305325000000,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1673856000007000000,2023-01-16T08:00:00.007000000Z,funding:ETHUSDT:1673856000007000000,funding,0.3015704240587500000,0.3015704240587500000,1.925,0,1555.82,1497.78475000000,0,0,0.7256921545912500000,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1673884800000000000,2023-01-16T16:00:00.000000000Z,funding:ETHUSDT:1673884800000000000,funding,0.2983879301018000000,0.2983879301018000000,1.925,0,1555.82,1497.78475000000,0,0,1.0240800846930500000,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1673913600004000000,2023-01-17T00:00:00.004000000Z,funding:ETHUSDT:1673913600004000000,funding,0.3035917500000000000,0.3035917500000000000,1.925,0,1555.82,1497.78475000000,0,0,1.3276718346930500000,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1673942400005000000,2023-01-17T08:00:00.005000000Z,funding:ETHUSDT:1673942400005000000,funding,0.3009987750000000000,0.3009987750000000000,1.925,0,1555.82,1497.78475000000,0,0,1.6286706096930500000,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1673971200001000000,2023-01-17T16:00:00.001000000Z,funding:ETHUSDT:1673971200001000000,funding,0.3025369014283000000,0.3025369014283000000,1.925,0,1555.82,1497.78475000000,0,0,1.9312075111213500000,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674000000008000000,2023-01-18T00:00:00.008000000Z,funding:ETHUSDT:1674000000008000000,funding,0.3013134122286750000,0.3013134122286750000,1.925,0,1555.82,1497.78475000000,0,0,2.2325209233500250000,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674028800009000000,2023-01-18T08:00:00.009000000Z,funding:ETHUSDT:1674028800009000000,funding,0.3047612173817750000,0.3047612173817750000,1.925,0,1555.82,1497.78475000000,0,0,2.5372821407318000000,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674057600017000000,2023-01-18T16:00:00.017000000Z,funding:ETHUSDT:1674057600017000000,funding,0.2983277306836750000,0.2983277306836750000,1.925,0,1555.82,1497.78475000000,0,0,2.8356098714154750000,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674086400000000000,2023-01-19T00:00:00.000000000Z,funding:ETHUSDT:1674086400000000000,funding,0.2910648920179000000,0.2910648920179000000,1.925,0,1555.82,1497.78475000000,0,0,3.1266747634333750000,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674115200015000000,2023-01-19T08:00:00.015000000Z,funding:ETHUSDT:1674115200015000000,funding,0.2942484511601250000,0.2942484511601250000,1.925,0,1555.82,1497.78475000000,0,0,3.4209232145935000000,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674144000012000000,2023-01-19T16:00:00.012000000Z,funding:ETHUSDT:1674144000012000000,funding,0.2951377869805750000,0.2951377869805750000,1.925,0,1555.82,1497.78475000000,0,0,3.7160610015740750000,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674172800000000000,2023-01-20T00:00:00.000000000Z,funding:ETHUSDT:1674172800000000000,funding,0.2986250455996500000,0.2986250455996500000,1.925,0,1555.82,1497.78475000000,0,0,4.0146860471737250000,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674201600000000000,2023-01-20T08:00:00.000000000Z,funding:ETHUSDT:1674201600000000000,funding,0.2983961750000000000,0.2983961750000000000,1.925,0,1555.82,1497.78475000000,0,0,4.3130822221737250000,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674230400000000000,2023-01-20T16:00:00.000000000Z,funding:ETHUSDT:1674230400000000000,funding,0.3009371750000000000,0.3009371750000000000,1.925,0,1555.82,1497.78475000000,0,0,4.6140193971737250000,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674259200013000000,2023-01-21T00:00:00.013000000Z,funding:ETHUSDT:1674259200013000000,funding,0.31935750000,0.31935750000,1.925,0,1555.82,1497.78475000000,0,0,4.9333768971737250000,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674288000001000000,2023-01-21T08:00:00.001000000Z,funding:ETHUSDT:1674288000001000000,funding,0.31801000000,0.31801000000,1.925,0,1555.82,1497.78475000000,0,0,5.2513868971737250000,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674316800016000000,2023-01-21T16:00:00.016000000Z,funding:ETHUSDT:1674316800016000000,funding,0.3171519753113250000,0.3171519753113250000,1.925,0,1555.82,1497.78475000000,0,0,5.5685388724850500000,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674345600000000000,2023-01-22T00:00:00.000000000Z,funding:ETHUSDT:1674345600000000000,funding,0.3132481896659500000,0.3132481896659500000,1.925,0,1555.82,1497.78475000000,0,0,5.8817870621510000000,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674374400000000000,2023-01-22T08:00:00.000000000Z,funding:ETHUSDT:1674374400000000000,funding,0.3132783500000000000,0.3132783500000000000,1.925,0,1555.82,1497.78475000000,0,0,6.1950654121510000000,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674403200023000000,2023-01-22T16:00:00.023000000Z,funding:ETHUSDT:1674403200023000000,funding,0.3148967980562250000,0.3148967980562250000,1.925,0,1555.82,1497.78475000000,0,0,6.5099622102072250000,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674432000014000000,2023-01-23T00:00:00.014000000Z,funding:ETHUSDT:1674432000014000000,funding,0.3245235659217043800,0.3245235659217043800,1.925,0,1555.82,1497.78475000000,0,0,6.8344857761289293800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674460800014000000,2023-01-23T08:00:00.014000000Z,funding:ETHUSDT:1674460800014000000,funding,0.3145507750000000000,0.3145507750000000000,1.925,0,1555.82,1497.78475000000,0,0,7.1490365511289293800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674489600016000000,2023-01-23T16:00:00.016000000Z,funding:ETHUSDT:1674489600016000000,funding,0.3120261931036250000,0.3120261931036250000,1.925,0,1555.82,1497.78475000000,0,0,7.4610627442325543800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674518400008000000,2023-01-24T00:00:00.008000000Z,funding:ETHUSDT:1674518400008000000,funding,0.3131397500000000000,0.3131397500000000000,1.925,0,1555.82,1497.78475000000,0,0,7.7742024942325543800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674547200008000000,2023-01-24T08:00:00.008000000Z,funding:ETHUSDT:1674547200008000000,funding,0.3149973750000000000,0.3149973750000000000,1.925,0,1555.82,1497.78475000000,0,0,8.0891998692325543800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674576000000000000,2023-01-24T16:00:00.000000000Z,funding:ETHUSDT:1674576000000000000,funding,0.3119800863352250000,0.3119800863352250000,1.925,0,1555.82,1497.78475000000,0,0,8.4011799555677793800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674604800012000000,2023-01-25T00:00:00.012000000Z,funding:ETHUSDT:1674604800012000000,funding,0.2995164094326250000,0.2995164094326250000,1.925,0,1555.82,1497.78475000000,0,0,8.7006963650004043800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674633600000000000,2023-01-25T08:00:00.000000000Z,funding:ETHUSDT:1674633600000000000,funding,0.2989748218976750000,0.2989748218976750000,1.925,0,1555.82,1497.78475000000,0,0,8.9996711868980793800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674662400010000000,2023-01-25T16:00:00.010000000Z,funding:ETHUSDT:1674662400010000000,funding,0.2971369014979750000,0.2971369014979750000,1.925,0,1555.82,1497.78475000000,0,0,9.2968080883960543800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674691200010000000,2023-01-26T00:00:00.010000000Z,funding:ETHUSDT:1674691200010000000,funding,0.3101309750000000000,0.3101309750000000000,1.925,0,1555.82,1497.78475000000,0,0,9.6069390633960543800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674720000003000000,2023-01-26T08:00:00.003000000Z,funding:ETHUSDT:1674720000003000000,funding,0.3088947324424500000,0.3088947324424500000,1.925,0,1555.82,1497.78475000000,0,0,9.9158337958385043800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674748800020000000,2023-01-26T16:00:00.020000000Z,funding:ETHUSDT:1674748800020000000,funding,0.3060499750000000000,0.3060499750000000000,1.925,0,1555.82,1497.78475000000,0,0,10.2218837708385043800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674777600008000000,2023-01-27T00:00:00.008000000Z,funding:ETHUSDT:1674777600008000000,funding,0.3081691425023750000,0.3081691425023750000,1.925,0,1555.82,1497.78475000000,0,0,10.5300529133408793800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674806400000000000,2023-01-27T08:00:00.000000000Z,funding:ETHUSDT:1674806400000000000,funding,0.3051241955338500000,0.3051241955338500000,1.925,0,1555.82,1497.78475000000,0,0,10.8351771088747293800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674835200000000000,2023-01-27T16:00:00.000000000Z,funding:ETHUSDT:1674835200000000000,funding,0.3034493000000000000,0.3034493000000000000,1.925,0,1555.82,1497.78475000000,0,0,11.1386264088747293800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674864000009000000,2023-01-28T00:00:00.009000000Z,funding:ETHUSDT:1674864000009000000,funding,0.3074137710355250000,0.3074137710355250000,1.925,0,1555.82,1497.78475000000,0,0,11.4460401799102543800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674892800018000000,2023-01-28T08:00:00.018000000Z,funding:ETHUSDT:1674892800018000000,funding,0.3065062000000000000,0.3065062000000000000,1.925,0,1555.82,1497.78475000000,0,0,11.7525463799102543800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674921600005000000,2023-01-28T16:00:00.005000000Z,funding:ETHUSDT:1674921600005000000,funding,0.3037603950477250000,0.3037603950477250000,1.925,0,1555.82,1497.78475000000,0,0,12.0563067749579793800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674950400011000000,2023-01-29T00:00:00.011000000Z,funding:ETHUSDT:1674950400011000000,funding,0.3025952403628000000,0.3025952403628000000,1.925,0,1555.82,1497.78475000000,0,0,12.3589020153207793800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674979200000000000,2023-01-29T08:00:00.000000000Z,funding:ETHUSDT:1674979200000000000,funding,0.3064662735807750000,0.3064662735807750000,1.925,0,1555.82,1497.78475000000,0,0,12.6653682889015543800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1675008000008000000,2023-01-29T16:00:00.008000000Z,funding:ETHUSDT:1675008000008000000,funding,0.3101098000000000000,0.3101098000000000000,1.925,0,1555.82,1497.78475000000,0,0,12.9754780889015543800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1675036800001000000,2023-01-30T00:00:00.001000000Z,funding:ETHUSDT:1675036800001000000,funding,0.3167529750000000000,0.3167529750000000000,1.925,0,1555.82,1497.78475000000,0,0,13.2922310639015543800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1675065600000000000,2023-01-30T08:00:00.000000000Z,funding:ETHUSDT:1675065600000000000,funding,0.3134381250000000000,0.3134381250000000000,1.925,0,1555.82,1497.78475000000,0,0,13.6056691889015543800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1675094400000000000,2023-01-30T16:00:00.000000000Z,funding:ETHUSDT:1675094400000000000,funding,0.3051070010950500000,0.3051070010950500000,1.925,0,1555.82,1497.78475000000,0,0,13.9107761899966043800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1675123200005000000,2023-01-31T00:00:00.005000000Z,funding:ETHUSDT:1675123200005000000,funding,0.3014819978824500000,0.3014819978824500000,1.925,0,1555.82,1497.78475000000,0,0,14.2122581878790543800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1675152000000000000,2023-01-31T08:00:00.000000000Z,funding:ETHUSDT:1675152000000000000,funding,0.3041307500000000000,0.3041307500000000000,1.925,0,1555.82,1497.78475000000,0,0,14.5163889378790543800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1675180800007000000,2023-01-31T16:00:00.007000000Z,funding:ETHUSDT:1675180800007000000,funding,0.3057612250000000000,0.3057612250000000000,1.925,0,1555.82,1497.78475000000,0,0,14.8221501628790543800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1675209600013000000,2023-02-01T00:00:00.013000000Z,funding:ETHUSDT:1675209600013000000,funding,0.3051377972181000000,0.3051377972181000000,1.925,0,1555.82,1497.78475000000,0,0,15.1272879600971543800,5496.85851428200,0,1.9250524,run_ad71d751b20623006c195ff3
