symbol,strategy,funding_filter_enabled,time_ns,timestamp_utc,fill_id,order_id,market,side,quantity,price,reference_price,trade_id,fee_rate,liquidation,participation,recent_volume_quantity,partial,remaining_quantity,window_start,window_end,slippage_rate,execution_model,window_base_volume,window_quote_volume,max_volume_participation,capacity_used,fill_reason,source_file,window_end_utc,window_start_utc,participation_window_seconds,purpose,rounding_cost,source_run_id
ETHUSDT,conditional,True,1677427440000000000,2023-02-26T16:04:00.000000000Z,fill-conditional-00000011-1677427440000000000,conditional-00000011,spot,BUY,0.1211,1604.38,1604.212784001118802880917418,bar:ETHUSDT:spot:1677427380000000000,0.001,False,0.002822646434981236743351280796,201.96650000,False,0.0000,1677427380000000000,1677427440000000000,0.0001,next_minute_vwap,42.90300000,68825.54107200,0.01,0.1211,full,ETHUSDT-1m-2023-02.zip,2023-02-26T16:04:00.000000000Z,2023-02-26T16:03:00.000000000Z,60,increase_spot,0.0008228406502594224180127390,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1677427500000000000,2023-02-26T16:05:00.000000000Z,fill-conditional-00000012-1677427500000000000,conditional-00000012,futures,SELL,0.121,1603.55,1603.717639218026983742383859,bar:ETHUSDT:futures:1677427440000000000,0.0005,False,0.0003575375414418513943964116232,178.158,False,0.000,1677427440000000000,1677427500000000000,0.0001,next_minute_vwap,338.426,542739.74577,0.01,0.121,full,ETHUSDT-1m-2023-02.zip,2023-02-26T16:05:00.000000000Z,2023-02-26T16:04:00.000000000Z,60,increase_perp,0.000879361946726906325164141,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1678637040000000000,2023-03-12T16:04:00.000000000Z,fill-conditional-00000013-1678637040000000000,conditional-00000013,spot,BUY,0.1932,1455.91,1455.764293450015635936954119,bar:ETHUSDT:spot:1678636980000000000,0.001,False,0.0004783631068148667924639488280,612.21350000,False,0.0000,1678636980000000000,1678637040000000000,0.0001,next_minute_vwap,403.87730000,587950.15227500,0.01,0.1932,full,ETHUSDT-1m-2023-03.zip,2023-03-12T16:04:00.000000000Z,2023-03-12T16:03:00.000000000Z,60,increase_spot,0.0000251393075248348941623352,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1678637100000000000,2023-03-12T16:05:00.000000000Z,fill-conditional-00000014-1678637100000000000,conditional-00000014,futures,SELL,0.193,1454.26,1454.414614108942467151422375,bar:ETHUSDT:futures:1678637040000000000,0.0005,False,0.0001837349799033915763699679939,3537.609,False,0.000,1678637040000000000,1678637100000000000,0.0001,next_minute_vwap,1050.426,1527754.92544,0.01,0.193,full,ETHUSDT-1m-2023-03.zip,2023-03-12T16:05:00.000000000Z,2023-03-12T16:04:00.000000000Z,60,increase_perp,0.001770320973593570608495969,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679241840000000000,2023-03-19T16:04:00.000000000Z,fill-conditional-00000015-1679241840000000000,conditional-00000015,futures,BUY,0.392,1798.52,1798.335392624085477231166864,bar:ETHUSDT:futures:1679241780000000000,0.0005,False,0.00005063817012254953885678647072,5805.428,False,0.000,1679241780000000000,1679241840000000000,0.0001,next_minute_vwap,7741.196,13921266.74804,0.01,0.392,full,ETHUSDT-1m-2023-03.zip,2023-03-19T16:04:00.000000000Z,2023-03-19T16:03:00.000000000Z,60,reduce_perp,0.001871343967628774675127448,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679241900000000000,2023-03-19T16:05:00.000000000Z,fill-conditional-00000016-1679241900000000000,conditional-00000016,spot,SELL,0.3920,1799.37,1799.554088778819243925192128,bar:ETHUSDT:spot:1679241840000000000,0.001,False,0.0007378690192139586748173585946,615.00220000,False,0.0000,1679241840000000000,1679241900000000000,0.0001,next_minute_vwap,531.25960000,956030.38538300,0.01,0.3920,full,ETHUSDT-1m-2023-03.zip,2023-03-19T16:05:00.000000000Z,2023-03-19T16:04:00.000000000Z,60,reduce_spot,0.0016202810170139043134467280,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679659200000000000,2023-03-24T12:00:00.000000000Z,fill-conditional-00000017-1679659200000000000,conditional-00000017,futures,BUY,1.675,1746.83,1746.651222547725505012021826,bar:ETHUSDT:futures:1679659140000000000,0.0005,False,0.0002008333805941238910550251090,15170.864,False,0.000,1679659140000000000,1679659200000000000,0.0001,next_minute_vwap,8340.247,14567502.61890,0.01,1.675,full,ETHUSDT-1m-2023-03.zip,2023-03-24T12:00:00.000000000Z,2023-03-24T11:59:00.000000000Z,60,close_perp,0.006888152783035082773928100,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679666460000000000,2023-03-24T14:01:00.000000000Z,fill-conditional-00000138-1679666460000000000,conditional-00000138,spot,SELL,1.6750,1770.96,1771.140682754896609043074383,bar:ETHUSDT:spot:1679666400000000000,0.001,False,0.0004606968260904136911725564854,0,False,0.0000,1679666400000000000,1679666460000000000,0.0001,next_minute_vwap,3635.79670000,6439507.44959600,0.01,1.6750,full,ETHUSDT-1m-2023-03.zip,2023-03-24T14:01:00.000000000Z,2023-03-24T14:00:00.000000000Z,60,close_spot,0.0059775500903749651348773000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1699545720000000000,2023-11-09T16:02:00.000000000Z,fill-conditional-00000139-1699545720000000000,conditional-00000139,spot,BUY,1.4795,2043.90,2043.695045322639568844682304,bar:ETHUSDT:spot:1699545660000000000,0.001,False,0.0006207661139155958643508349378,2547.06210000,False,0.0000,1699545660000000000,1699545720000000000,0.0001,next_minute_vwap,2383.34530000,4870830.98090300,0.01,1.4795,full,ETHUSDT-1m-2023-11.zip,2023-11-09T16:02:00.000000000Z,2023-11-09T16:01:00.000000000Z,60,open_spot,0.0008657631992733700819608260,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1699545780000000000,2023-11-09T16:03:00.000000000Z,fill-conditional-00000140-1699545780000000000,conditional-00000140,futures,SELL,1.478,2050.10,2050.309459218892824415927920,bar:ETHUSDT:futures:1699545720000000000,0.0005,False,0.00009351455078184934451551395641,20401.010,False,0.000,1699545720000000000,1699545780000000000,0.0001,next_minute_vwap,15805.027,32405196.36131,0.01,1.478,full,ETHUSDT-1m-2023-11.zip,2023-11-09T16:03:00.000000000Z,2023-11-09T16:02:00.000000000Z,60,open_perp,0.006544987451042127292791306,run_ad71d751b20623006c195ff3
