symbol,strategy,funding_filter_enabled,time_ns,timestamp_utc,state,snapshot_kind,spot,short,average,collateral,spot_cost,realized_spot,realized_futures,funding,fees,liquidation_fees,slippage,spot_price,mark_price,dust_spot,tradable_spot,mark_available_at_utc,mark_close_time_ns_utc,spot_price_time_ns_utc,mark_age_seconds,mark_available_at,mark_close_time_ns,spot_price_age_seconds,spot_price_time_ns,source_run_id
BTCUSDT,conditional,True,1641513599999999999,2022-01-06T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1641513599999999999,2022-01-06T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1641599999999999999,2022-01-07T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1641599999999999999,2022-01-07T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1641686399999999999,2022-01-08T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1641686399999999999,2022-01-08T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1641772799999999999,2022-01-09T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1641772799999999999,2022-01-09T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1641859199999999999,2022-01-10T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1641859199999999999,2022-01-10T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1641945599999999999,2022-01-11T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1641945599999999999,2022-01-11T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1642031999999999999,2022-01-12T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1642031999999999999,2022-01-12T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1642118399999999999,2022-01-13T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1642118399999999999,2022-01-13T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1642204799999999999,2022-01-14T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1642204799999999999,2022-01-14T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1642291199999999999,2022-01-15T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1642291199999999999,2022-01-15T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1642377599999999999,2022-01-16T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1642377599999999999,2022-01-16T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
