symbol,strategy,funding_filter_enabled,time_ns,timestamp_utc,decision_kind,decision,forecast,estimated_cycle_cost,basis,renewal_funding_threshold,actual_outcome,renewal_status_kind,state_after,expiry_after,mark_available_at_utc,mark_open_time_utc,available_cash,basis_above_max,basis_negative,basis_raw,budget_reason,budget_required_cash,cooldown_until,cost_futures_close_fee,cost_futures_open_fee,cost_slippage_per_order,cost_slippage_total,cost_spot_close_fee,cost_spot_open_fee,current_short,current_spot,data_valid,decision_time,entry_basis_filter_applied,entry_filter_order,entry_funding_cost_filter_applied,entry_simultaneous_not_evaluable,entry_simultaneous_rejections,entry_sizing_filter_applied,equity_snapshot,filter_basis_above_max,filter_basis_negative,filter_budget,filter_cooldown,filter_coverage,filter_data_valid,filter_debt,filter_forecast,filter_freshness,filter_funding,filter_funding_positive,filter_mark,filter_operational,filter_order,filter_pending_orders,filter_price_alignment,filter_rules,filter_sizing,filter_state_active,filter_state_holding,forecast_anchor,forecast_available_at,forecast_cost_gap,forecast_history_start,forecast_no_change,forecast_reason,funding_anchor,futures_available_at,futures_end_time,futures_open_time,futures_price,futures_price_time,latest_funding_available_at,latest_funding_time,mark_available_at,mark_open_time,mark_price,mark_time,planned_hedge_error,portfolio_state,price_alignment_enforced,proposed_futures_quantity,proposed_futures_side,proposed_gross_spot,proposed_net_spot,proposed_short,proposed_short_delta,proposed_spot_delta,proposed_spot_side,prospective_pair_feasible,prospective_sizing_reason,sequential_rejection,simultaneous_not_evaluable,simultaneous_rejections,sizing_enforcement,sizing_feasible,sizing_futures_price,sizing_futures_price_time,sizing_reason,sizing_spot_price,sizing_spot_price_time,spot_available_at,spot_end_time,spot_open_time,spot_price,spot_price_time,target_quantity,target_usdt,unallocated_target_usdt,source_run_id
ETHUSDT,conditional,True,1674403380000000000,2023-01-22T16:03:00.000000000Z,renewal,,0.002123630062644725682077115962,0.0034,0.000189580415731505207345935,0,,eligible,HOLDING,1675008180000000000,2023-01-22T16:03:00.000000000Z,2023-01-22T16:02:00.000000000Z,5503.3684764922072250000,False,False,0.000189580415731505207345935,ok,0,1673769840000000000,0.0005,0.0005,0.0001,0.0004,0.001,0.001,1.925,1.9250524,True,1674403380000000000,False,"[""state_active"",""cooldown"",""pending_orders"",""debt"",""coverage"",""forecast"",""rules"",""operational"",""mark"",""price_alignment"",""freshness"",""funding"",""basis_negative"",""basis_above_max"",""sizing"",""budget""]",False,[],"[""state_active"",""funding""]",False,9995.8707790612072250000,pass,pass,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,pass,"[""state_holding"",""data_valid"",""forecast"",""debt"",""funding_positive""]",pass,pass,pass,pass,fail,pass,1674403200023000000,1674403260023000000,-0.001276369937355274317922884038,1673193600010000000,0.002099998322918006002981317064,,1674403200023000000,1674403380000000000,1674403380000000000,1674403320000000000,1635.50,1674403380000000000,1674403260023000000,1674403200023000000,1674403380000000000,1674403320000000000,1635.35708124,1674403379999000000,0.00002858619862694596182847800750,HOLDING,True,0.092,buy,0.0920,1.8330524,1.833,-0.092,-0.0920000,sell,True,ok,,[],[],joint_pair,True,1635.50,1674403380000000000,ok,1635.19000000,1674403380000000000,1674403380000000000,1674403380000000000,1674403320000000000,1635.19000000,1674403380000000000,1.833891617315640486732428647,2998.761233718362167500000,1.372279762362167500000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1675008180000000000,2023-01-29T16:03:00.000000000Z,renewal,,0.002100165739563882785146946816,0.0034,-0.0001984853089858020977416093,0,,eligible,HOLDING,1675612980000000000,2023-01-29T16:03:00.000000000Z,2023-01-29T16:02:00.000000000Z,5509.8339923709015543800,False,True,-0.0001984853089858020977416093,ok,0,1673769840000000000,0.0005,0.0005,0.0001,0.0004,0.001,0.001,1.925,1.9250524,True,1675008180000000000,False,"[""state_active"",""cooldown"",""pending_orders"",""debt"",""coverage"",""forecast"",""rules"",""operational"",""mark"",""price_alignment"",""freshness"",""funding"",""basis_negative"",""basis_above_max"",""sizing"",""budget""]",False,[],"[""state_active"",""funding"",""basis_negative""]",False,10003.3112221749015543800,pass,fail,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,pass,"[""state_holding"",""data_valid"",""forecast"",""debt"",""funding_positive""]",pass,pass,pass,pass,fail,pass,1675008000008000000,1675008060008000000,-0.001299834260436117214853053184,1673798400000000000,0.002099999416666828703658693428,,1675008000008000000,1675008180000000000,1675008180000000000,1675008120000000000,1611.89,1675008180000000000,1675008060008000000,1675008000008000000,1675008180000000000,1675008120000000000,1611.87000000,1675008179999000000,0.00002815611210087367771052550697,HOLDING,True,0.064,buy,0.0640,1.8610524,1.861,-0.064,-0.0640000,sell,True,ok,,[],[],joint_pair,True,1611.89,1675008180000000000,ok,1612.21000000,1675008180000000000,1675008180000000000,1675008180000000000,1675008120000000000,1612.21000000,1675008180000000000,1.861415923888619017568430912,3000.993366652470466314000,0.586076848470466314000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1675612980000000000,2023-02-05T16:03:00.000000000Z,renewal,,0.002100001019994467639725146528,0.0034,0.000225334957369062119366626,0,,eligible,REBALANCING,1676217780000000000,2023-02-05T16:03:00.000000000Z,2023-02-05T16:02:00.000000000Z,5516.4253056582334043800,False,False,0.000225334957369062119366626,ok,0,1673769840000000000,0.0005,0.0005,0.0001,0.0004,0.001,0.001,1.925,1.9250524,True,1675612980000000000,False,"[""state_active"",""cooldown"",""pending_orders"",""debt"",""coverage"",""forecast"",""rules"",""operational"",""mark"",""price_alignment"",""freshness"",""funding"",""basis_negative"",""basis_above_max"",""sizing"",""budget""]",False,[],"[""state_active"",""funding""]",False,10008.7025191774834043800,pass,pass,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,pass,"[""state_holding"",""data_valid"",""forecast"",""debt"",""funding_positive""]",pass,pass,pass,pass,fail,pass,1675612800018000000,1675612860018000000,-0.001299998980005532360274853472,1674374400000000000,0.002099999343750205078060913106,,1675612800018000000,1675612980000000000,1675612980000000000,1675612920000000000,1642.37,1675612980000000000,1675612860018000000,1675612800018000000,1675612980000000000,1675612920000000000,1642.28419599,1675612979999000000,0.00002866438620687240693975730674,HOLDING,True,0.097,buy,0.0970,1.8280524,1.828,-0.097,-0.0970000,sell,True,ok,,[],[],joint_pair,True,1642.37,1675612980000000000,ok,1642.00000000,1675612980000000000,1675612980000000000,1675612980000000000,1675612920000000000,1642.00000000,1675612980000000000,1.828630180117688807133982948,3002.610755753245021314000,0.948714953245021314000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1676217780000000000,2023-02-12T16:03:00.000000000Z,renewal,,0.001140844158121639746267741234,0.0034,-0.0003843397824245977460751743,0,,eligible,REBALANCING,1676822580000000000,2023-02-12T16:03:00.000000000Z,2023-02-12T16:02:00.000000000Z,5747.656102800178090395200000,False,True,-0.0003843397824245977460751743,ok,297.29344281781,1673769840000000000,0.0005,0.0005,0.0001,0.0004,0.001,0.001,1.828,1.8280524,True,1676217780000000000,False,"[""state_active"",""cooldown"",""pending_orders"",""debt"",""coverage"",""forecast"",""rules"",""operational"",""mark"",""price_alignment"",""freshness"",""funding"",""basis_negative"",""basis_above_max"",""sizing"",""budget""]",False,[],"[""state_active"",""funding"",""basis_negative""]",False,10015.07817791725809039520000,pass,fail,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,pass,"[""state_holding"",""data_valid"",""forecast"",""debt"",""funding_positive""]",pass,pass,pass,pass,fail,pass,1676217600002000000,1676217660002000000,-0.002259155841878360253732258766,1674979200000000000,0.0009615899332229213039637983358,,1676217600002000000,1676217780000000000,1676217780000000000,1676217720000000000,1534.51,1676217780000000000,1676217660002000000,1676217600002000000,1676217780000000000,1676217720000000000,1534.55803289,1676217779999000000,0.00001190583678794217728526788618,HOLDING,True,0.129,sell,0.1291,1.9570233,1.957,0.129,0.1289709,buy,True,ok,,[],[],joint_pair,True,1534.51,1676217780000000000,ok,1535.10000000,1676217780000000000,1676217780000000000,1676217780000000000,1676217720000000000,1535.10000000,1676217780000000000,1.957216763321723293022317764,3004.523453375177427118560000,0.296985545177427118560000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1676822580000000000,2023-02-19T16:03:00.000000000Z,renewal,,0.002048961767557934292966694516,0.0034,0.000262586653595686576570268,0,,eligible,REBALANCING,1677427380000000000,2023-02-19T16:03:00.000000000Z,2023-02-19T16:02:00.000000000Z,5455.557570466541764778300000,False,False,0.000262586653595686576570268,ok,0,1673769840000000000,0.0005,0.0005,0.0001,0.0004,0.001,0.001,1.957,1.9570233,True,1676822580000000000,False,"[""state_active"",""cooldown"",""pending_orders"",""debt"",""coverage"",""forecast"",""rules"",""operational"",""mark"",""price_alignment"",""freshness"",""funding"",""basis_negative"",""basis_above_max"",""sizing"",""budget""]",False,[],"[""state_active"",""funding""]",False,10018.27845961407176477830000,pass,pass,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,pass,"[""state_holding"",""data_valid"",""forecast"",""debt"",""funding_positive""]",pass,pass,pass,pass,fail,pass,1676822400003000000,1676822460003000000,-0.001351038232442065707033305484,1675584000009000000,0.002100000145833343460648851434,,1676822400003000000,1676822580000000000,1676822580000000000,1676822520000000000,1714.17,1676822580000000000,1676822460003000000,1676822400003000000,1676822580000000000,1676822520000000000,1714.06592771,1676822579999000000,0.00001329132362359359399273244115,HOLDING,True,0.204,buy,0.2040,1.7530233,1.753,-0.204,-0.2040000,sell,True,ok,,[],[],joint_pair,True,1714.17,1676822580000000000,ok,1713.72000000,1676822580000000000,1676822580000000000,1676822580000000000,1676822520000000000,1713.72000000,1676822580000000000,1.753777476999872516766735523,3005.483537884221529433490000,1.292448208221529433490000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1677427380000000000,2023-02-26T16:03:00.000000000Z,renewal,,0.001028875299469826064512380618,0.0034,-0.0002618094775030856116991435,0,,eligible,REBALANCING,1678032180000000000,2023-02-26T16:03:00.000000000Z,2023-02-26T16:02:00.000000000Z,5935.024132776238958447925754,False,True,-0.0002618094775030856116991435,ok,291.43004361500,1673769840000000000,0.0005,0.0005,0.0001,0.0004,0.001,0.001,1.753,1.7530233,True,1677427380000000000,False,"[""state_active"",""cooldown"",""pending_orders"",""debt"",""coverage"",""forecast"",""rules"",""operational"",""mark"",""price_alignment"",""freshness"",""funding"",""basis_negative"",""basis_above_max"",""sizing"",""budget""]",False,[],"[""state_active"",""funding"",""basis_negative""]",False,10023.44833963059869273510000,pass,fail,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,pass,"[""state_holding"",""data_valid"",""forecast"",""debt"",""funding_positive""]",pass,pass,pass,pass,fail,pass,1677427200000000000,1677427260000000000,-0.002371124700530173935487619382,1676188800000000000,0.0002305800960750400312666796944,,1677427200000000000,1677427380000000000,1677427380000000000,1677427320000000000,1603.80,1677427380000000000,1677427260000000000,1677427200000000000,1677427380000000000,1677427320000000000,1603.81000000,1677427379999000000,0.000001173958066858192589101549614,HOLDING,True,0.121,sell,0.1211,1.8740022,1.874,0.121,0.1209789,buy,True,ok,,[],[],joint_pair,True,1603.80,1677427380000000000,ok,1604.22000000,1677427380000000000,1677427380000000000,1677427380000000000,1677427320000000000,1604.22000000,1677427380000000000,1.874452694698470040156917380,3007.034501889179607820530000,0.722692605179607820530000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1678032180000000000,2023-03-05T16:03:00.000000000Z,renewal,,0.0008941428284481318694984025262,0.0034,-0.0002296123378362864031227278,0,,eligible,HOLDING,1678636980000000000,2023-03-05T16:03:00.000000000Z,2023-03-05T16:02:00.000000000Z,5647.218237117113687188525754,False,True,-0.0002296123378362864031227278,ok,103.67312348000,1673769840000000000,0.0005,0.0005,0.0001,0.0004,0.001,0.001,1.874,1.8740022,True,1678032180000000000,False,"[""state_active"",""cooldown"",""pending_orders"",""debt"",""coverage"",""forecast"",""rules"",""operational"",""mark"",""price_alignment"",""freshness"",""funding"",""basis_negative"",""basis_above_max"",""sizing"",""budget""]",False,[],"[""state_active"",""funding"",""basis_negative""]",False,10026.60210993747342147570000,pass,fail,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,pass,"[""state_holding"",""data_valid"",""forecast"",""debt"",""funding_positive""]",pass,pass,pass,pass,fail,pass,1678032000015000000,1678032060015000000,-0.002505857171551868130501597474,1676822400003000000,0.001016609470515900772968347412,,1678032000015000000,1678032180000000000,1678032180000000000,1678032120000000000,1567.50,1678032180000000000,1678032060015000000,1678032000015000000,1678032180000000000,1678032120000000000,1567.51000000,1678032179999000000,0.00003029105322721975940144878823,HOLDING,True,0.044,sell,0.0441,1.9180581,1.918,0.044,0.0440559,buy,True,ok,,[],[],joint_pair,True,1567.50,1678032180000000000,ok,1567.86000000,1678032180000000000,1678032180000000000,1678032180000000000,1678032120000000000,1567.86000000,1678032180000000000,1.918526292514154341868987027,3007.980632981242026442710000,0.734060315242026442710000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1678636980000000000,2023-03-12T16:03:00.000000000Z,renewal,,0.0002252908463719241077941911695,0.0034,-0.0004328141853131719783730309,0,,eligible,REBALANCING,1679241780000000000,2023-03-12T16:03:00.000000000Z,2023-03-12T16:02:00.000000000Z,5649.247451943417172604925754,False,True,-0.0004328141853131719783730309,ok,421.80554216500,1673769840000000000,0.0005,0.0005,0.0001,0.0004,0.001,0.001,1.874,1.8740022,True,1678636980000000000,False,"[""state_active"",""cooldown"",""pending_orders"",""debt"",""coverage"",""forecast"",""rules"",""operational"",""mark"",""price_alignment"",""freshness"",""funding"",""basis_negative"",""basis_above_max"",""sizing"",""budget""]",False,[],"[""state_active"",""funding"",""basis_negative""]",False,10029.17453776977690689210000,pass,fail,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,pass,"[""state_holding"",""data_valid"",""forecast"",""debt"",""funding_positive""]",pass,pass,pass,pass,fail,pass,1678636800005000000,1678636860005000000,-0.003174709153628075892205808830,1677427200000000000,-0.0009000598437396104618731837026,,1678636800005000000,1678636980000000000,1678636980000000000,1678636920000000000,1454.96,1678636980000000000,1678636860005000000,1678636800005000000,1678636980000000000,1678636920000000000,1454.95000000,1678636979999000000,0.000004354117471186627634422491629,HOLDING,True,0.193,sell,0.1932,2.0670090,2.067,0.193,0.1930068,buy,True,ok,,[],[],joint_pair,True,1454.96,1678636980000000000,ok,1455.59000000,1678636980000000000,1678636980000000000,1678636980000000000,1678636920000000000,1455.59000000,1678636980000000000,2.067032860442111495728625506,3008.752361330933072067630000,0.034731020933072067630000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679241780000000000,2023-03-19T16:03:00.000000000Z,renewal,,0.002078024785291075174773022409,0.0034,-0.0003505004367346711693918539,0,,eligible,REBALANCING,1679846580000000000,2023-03-19T16:03:00.000000000Z,2023-03-19T16:02:00.000000000Z,5235.623910357634861604925754,False,True,-0.0003505004367346711693918539,ok,0,1673769840000000000,0.0005,0.0005,0.0001,0.0004,0.001,0.001,2.067,2.0670090,True,1679241780000000000,False,"[""state_active"",""cooldown"",""pending_orders"",""debt"",""coverage"",""forecast"",""rules"",""operational"",""mark"",""price_alignment"",""freshness"",""funding"",""basis_negative"",""basis_above_max"",""sizing"",""budget""]",False,[],"[""state_active"",""funding"",""basis_negative""]",False,10036.71369075599459589210000,pass,fail,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,pass,"[""state_holding"",""data_valid"",""forecast"",""debt"",""funding_positive""]",pass,pass,pass,pass,fail,pass,1679241600000000000,1679241660000000000,-0.001321975214708924825226977591,1678003200000000000,0.002100001750001458334548612124,,1679241600000000000,1679241780000000000,1679241780000000000,1679241720000000000,1796.80,1679241780000000000,1679241660000000000,1679241600000000000,1679241780000000000,1679241720000000000,1796.80000000,1679241779999000000,0.000005373105457940823004533109971,HOLDING,True,0.392,buy,0.3920,1.6750090,1.675,-0.392,-0.3920000,sell,True,ok,,[],[],joint_pair,True,1796.80,1679241780000000000,ok,1797.43000000,1679241780000000000,1679241780000000000,1679241780000000000,1679241720000000000,1797.43000000,1679241780000000000,1.675177396186109266434648359,3011.014107226798378767630000,0.302680356798378767630000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1700150580000000000,2023-11-16T16:03:00.000000000Z,renewal,,0.002520962828195079585473262492,0.0034,0.000409877036888933320003999,0,,eligible,HOLDING,1700755380000000000,2023-11-16T16:03:00.000000000Z,2023-11-16T16:02:00.000000000Z,1024.817414668681263395300002,False,False,0.000409877036888933320003999,ok,102.29472824024,1679752860000000000,0.0005,0.0005,0.0001,0.0004,0.001,0.001,1.478,1.4780295,True,1700150580000000000,False,"[""state_active"",""cooldown"",""pending_orders"",""debt"",""coverage"",""forecast"",""rules"",""operational"",""mark"",""price_alignment"",""freshness"",""funding"",""basis_negative"",""basis_above_max"",""sizing"",""budget""]",False,[],"[""state_active"",""funding""]",False,10088.39446817735126339530000,pass,pass,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,pass,"[""state_holding"",""data_valid"",""forecast"",""debt"",""funding_positive""]",pass,pass,pass,pass,fail,pass,1700150400001000000,1700150460001000000,-0.000879037171804920414526737508,1698940800000000000,0.002099999927083335865161949126,,1700150400001000000,1700150580000000000,1700150580000000000,1700150520000000000,2001.42,1700150580000000000,1700150460001000000,1700150400001000000,1700150580000000000,1700150520000000000,2001.57813736,1700150579999000000,0.00006309125733733466816974643267,HOLDING,True,0.034,sell,0.0341,1.5120954,1.512,0.034,0.0340659,buy,True,ok,,[],[],joint_pair,True,2001.42,1700150580000000000,ok,2000.60000000,1700150580000000000,1700150580000000000,1700150580000000000,1700150520000000000,2000.60000000,1700150580000000000,1.512805328628014285223727882,3026.518340453205379018590000,1.420283213205379018590000,run_ad71d751b20623006c195ff3
