symbol,strategy,funding_filter_enabled,time_ns,timestamp_utc,event_id,kind,amount_usdt,funding,short,debt,average,collateral,collateral_change,fee,free_futures,free_spot,pnl,spot,source_run_id
ETHUSDT,conditional,True,1679616000013000000,2023-03-24T00:00:00.013000000Z,funding:ETHUSDT:1679616000013000000,funding,0.3037813500000000000,0.3037813500000000000,1.675,0E-26,1547.962813091530805397814008,1296.672246542901457287165100,0,0,306.1184462352364108052275935,5841.700670129514937320868845,0,1.6750090,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679644800012000000,2023-03-24T08:00:00.012000000Z,funding:ETHUSDT:1679644800012000000,funding,0.3040091500000000000,0.3040091500000000000,1.675,0E-26,1547.962813091530805397814008,1296.672246542901457287165100,0,0,306.4224553852364108052275935,5841.700670129514937320868845,0,1.6750090,run_ad71d751b20623006c195ff3
BTCUSDT,permanent,False,1679616000013000000,2023-03-24T00:00:00.013000000Z,funding:BTCUSDT:1679616000013000000,funding,0.3083141300000000000,0.3083141300000000000,0.109,0E-26,26231.94862774828052605830382,1429.206118157930615047014518,0,0,647.1146382258716495951843058,1250.166955620000000000000000,0,0.10900772,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1679616000013000000,2023-03-24T00:00:00.013000000Z,funding:ETHUSDT:1679616000013000000,funding,0.3152071560000000000,0.3152071560000000000,1.738,0E-26,1547.984058211571478310981978,1345.420276892401339880659375,0,0,647.4298453818716495951843058,1250.166955620000000000000000,0,1.7380087,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1679644800012000000,2023-03-24T08:00:00.012000000Z,funding:BTCUSDT:1679644800012000000,funding,0.3081419100000000000,0.3081419100000000000,0.109,0E-26,26231.94862774828052605830382,1429.206118157930615047014518,0,0,647.7379872918716495951843058,1250.166955620000000000000000,0,0.10900772,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1679644800012000000,2023-03-24T08:00:00.012000000Z,funding:ETHUSDT:1679644800012000000,funding,0.3154435240000000000,0.3154435240000000000,1.738,0E-26,1547.984058211571478310981978,1345.420276892401339880659375,0,0,648.0534308158716495951843058,1250.166955620000000000000000,0,1.7380087,run_dfea4b7ac1475668d5968c97
