symbol,strategy,funding_filter_enabled,time_ns,timestamp_utc,state,snapshot_kind,spot,short,average,collateral,spot_cost,realized_spot,realized_futures,funding,fees,liquidation_fees,slippage,spot_price,mark_price,dust_spot,tradable_spot,mark_available_at_utc,mark_close_time_ns_utc,spot_price_time_ns_utc,mark_age_seconds,mark_available_at,mark_close_time_ns,spot_price_age_seconds,spot_price_time_ns,source_run_id
ETHUSDT,conditional,True,1679659140000000000,2023-03-24T11:59:00.000000000Z,CLOSING_PERP,event,1.6750090,1.675,1547.962813091530805397814008,1296.672246542901457287165100,2593.837373650014132354675213,139.2373624830141323546752131,-139.2061119283140990413384623,51.2707622339669044546,12.669267081,0,1.557919099021107291706309525,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679659200000000000,2023-03-24T12:00:00.000000000Z,CLOSING_SPOT,event,1.6750090,0.000,0,0E-24,2593.837373650014132354675213,139.2373624830141323546752131,-472.3086499999999999999999989,51.2707622339669044546,14.132237206,0,1.857371331580886396569750975,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679659200000000000,2023-03-24T12:00:00.000000000Z,CLOSING_SPOT,event,1.6750090,0.000,0,0E-24,2593.837373650014132354675213,139.2373624830141323546752131,-472.3086499999999999999999989,51.2707622339669044546,14.132237206,0,1.857371331580886396569750975,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679666460000000000,2023-03-24T14:01:00.000000000Z,COOLDOWN,event,0.0000090,0.000,0,0E-24,0.013936961749369780813830,511.7719257947493697808138301,-472.3086499999999999999999989,51.2707622339669044546,17.098595206,0,2.160014946032706543719342500,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679666460000000000,2023-03-24T14:01:00.000000000Z,COOLDOWN,event,0.0000090,0.000,0,0E-24,0.013936961749369780813830,511.7719257947493697808138301,-472.3086499999999999999999989,51.2707622339669044546,17.098595206,0,2.160014946032706543719342500,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1679702399999999999,2023-03-24T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679702399999999999,2023-03-24T23:59:59.999999999Z,COOLDOWN,event,0.0000090,0.000,0,0E-24,0.013936961749369780813830,511.7719257947493697808138301,-472.3086499999999999999999989,51.2707622339669044546,17.098595206,0,2.160014946032706543719342500,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
BTCUSDT,permanent,False,1679659140000000000,2023-03-24T11:59:00.000000000Z,CLOSING_PERP,event,0.10900772,0.109,26231.94862774828052605830382,1429.206118157930615047014518,2859.822051569599338763131211,-1368.404163006600661236868789,1374.106199575437422659644880,176.1457252122221123136,19.8109032238,0,2.663703370769690267413361286,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1679659140000000000,2023-03-24T11:59:00.000000000Z,CLOSING_PERP,event,1.7380087,1.738,1547.984058211571478310981978,1345.420276892401339880659375,2693.042790139413719883693860,-1595.195953855586280116306140,1625.060006828288770695513319,67.4706757862552988541,33.659964121,0,4.609984090501089804646270122,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1679659200000000000,2023-03-24T12:00:00.000000000Z,CLOSING_SPOT,event,0.10900772,0.000,0,0E-24,2859.822051569599338763131211,-1368.404163006600661236868789,1225.838799999999999999999996,176.1457252122221123136,21.3146781238,0,2.973539661882309672469415026,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
