symbol,market,open_time,end_time,available_at,open,high,low,close,base_volume,quote_volume,trade_count,source_file,open_time_utc,source_partition
ETHUSDT,futures,1679660880000000000,1679660940000000000,1679660940000000000,1769.78,1772.19,1768.98,1770.37,3269.503,5787901.74765,3055,ETHUSDT-1m-2023-03.zip,2023-03-24T12:28:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
ETHUSDT,spot,1679660880000000000,1679660940000000000,1679660940000000000,1789.52000000,1789.52000000,1789.52000000,1789.52000000,0.00000000,0.00000000,0,ETHUSDT-1m-2023-03.zip,2023-03-24T12:28:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=spot/month=2023-03/part-00000.parquet
BTCUSDT,futures,1679660940000000000,1679661000000000000,1679661000000000000,27982.00,28013.30,27973.00,27978.50,399.942,11195680.25540,3871,BTCUSDT-1m-2023-03.zip,2023-03-24T12:29:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
BTCUSDT,spot,1679660940000000000,1679661000000000000,1679661000000000000,28080.00000000,28080.00000000,28080.00000000,28080.00000000,0.00000000,0.00000000,0,BTCUSDT-1m-2023-03.zip,2023-03-24T12:29:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=spot/month=2023-03/part-00000.parquet
ETHUSDT,futures,1679660940000000000,1679661000000000000,1679661000000000000,1770.42,1773.00,1770.42,1771.82,3126.345,5539718.91423,2899,ETHUSDT-1m-2023-03.zip,2023-03-24T12:29:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
ETHUSDT,spot,1679660940000000000,1679661000000000000,1679661000000000000,1789.52000000,1789.52000000,1789.52000000,1789.52000000,0.00000000,0.00000000,0,ETHUSDT-1m-2023-03.zip,2023-03-24T12:29:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=spot/month=2023-03/part-00000.parquet
BTCUSDT,futures,1679661000000000000,1679661060000000000,1679661060000000000,27978.40,27979.90,27950.00,27961.70,582.766,16294550.54300,5316,BTCUSDT-1m-2023-03.zip,2023-03-24T12:30:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
BTCUSDT,spot,1679661000000000000,1679661060000000000,1679661060000000000,28080.00000000,28080.00000000,28080.00000000,28080.00000000,0.00000000,0.00000000,0,BTCUSDT-1m-2023-03.zip,2023-03-24T12:30:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=spot/month=2023-03/part-00000.parquet
ETHUSDT,futures,1679661000000000000,1679661060000000000,1679661060000000000,1771.81,1771.82,1767.81,1769.75,5426.968,9604299.46453,4013,ETHUSDT-1m-2023-03.zip,2023-03-24T12:30:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
ETHUSDT,spot,1679661000000000000,1679661060000000000,1679661060000000000,1789.52000000,1789.52000000,1789.52000000,1789.52000000,0.00000000,0.00000000,0,ETHUSDT-1m-2023-03.zip,2023-03-24T12:30:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=spot/month=2023-03/part-00000.parquet
BTCUSDT,futures,1679661060000000000,1679661120000000000,1679661120000000000,27961.80,27965.30,27900.00,27933.90,1111.059,31027166.58358,8938,BTCUSDT-1m-2023-03.zip,2023-03-24T12:31:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
BTCUSDT,spot,1679661060000000000,1679661120000000000,1679661120000000000,28080.00000000,28080.00000000,28080.00000000,28080.00000000,0.00000000,0.00000000,0,BTCUSDT-1m-2023-03.zip,2023-03-24T12:31:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=spot/month=2023-03/part-00000.parquet
ETHUSDT,futures,1679661060000000000,1679661120000000000,1679661120000000000,1769.76,1769.76,1761.03,1765.74,12581.083,22211059.08269,9942,ETHUSDT-1m-2023-03.zip,2023-03-24T12:31:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
ETHUSDT,spot,1679661060000000000,1679661120000000000,1679661120000000000,1789.52000000,1789.52000000,1789.52000000,1789.52000000,0.00000000,0.00000000,0,ETHUSDT-1m-2023-03.zip,2023-03-24T12:31:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=spot/month=2023-03/part-00000.parquet
BTCUSDT,futures,1679661120000000000,1679661180000000000,1679661180000000000,27934.00,27934.00,27880.00,27882.00,1436.219,40075151.20390,6343,BTCUSDT-1m-2023-03.zip,2023-03-24T12:32:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
BTCUSDT,spot,1679661120000000000,1679661180000000000,1679661180000000000,28080.00000000,28080.00000000,28080.00000000,28080.00000000,0.00000000,0.00000000,0,BTCUSDT-1m-2023-03.zip,2023-03-24T12:32:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=spot/month=2023-03/part-00000.parquet
ETHUSDT,futures,1679661120000000000,1679661180000000000,1679661180000000000,1765.75,1765.75,1759.76,1763.23,10074.343,17759858.12017,7118,ETHUSDT-1m-2023-03.zip,2023-03-24T12:32:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
ETHUSDT,spot,1679661120000000000,1679661180000000000,1679661180000000000,1789.52000000,1789.52000000,1789.52000000,1789.52000000,0.00000000,0.00000000,0,ETHUSDT-1m-2023-03.zip,2023-03-24T12:32:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=spot/month=2023-03/part-00000.parquet
BTCUSDT,futures,1679661180000000000,1679661240000000000,1679661240000000000,27881.90,27933.90,27880.00,27913.80,890.752,24859591.62400,5473,BTCUSDT-1m-2023-03.zip,2023-03-24T12:33:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
BTCUSDT,spot,1679661180000000000,1679661240000000000,1679661240000000000,28080.00000000,28080.00000000,28080.00000000,28080.00000000,0.00000000,0.00000000,0,BTCUSDT-1m-2023-03.zip,2023-03-24T12:33:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=spot/month=2023-03/part-00000.parquet
