symbol,market,fill_id,time_ns,timestamp_utc,quantity,price,reference_vwap,expected_adverse_price,volume_base,realized_participation,window_start,available_at,verified,strategy,source_run_id
ETHUSDT,futures,fill-conditional-00000017-1679659200000000000,1679659200000000000,2023-03-24T12:00:00.000000000Z,1.675,1746.83,1746.651222547725505012021826,1746.83,8340.247,0.0002008333805941238910550251090,1679659140000000000,1679659200000000000,True,conditional,run_ad71d751b20623006c195ff3
ETHUSDT,spot,fill-conditional-00000138-1679666460000000000,1679666460000000000,2023-03-24T14:01:00.000000000Z,1.6750,1770.96,1771.140682754896609043074383,1770.96,3635.79670000,0.0004606968260904136911725564854,1679666400000000000,1679666460000000000,True,conditional,run_ad71d751b20623006c195ff3
BTCUSDT,futures,fill-permanent-00000093-1679659200000000000,1679659200000000000,2023-03-24T12:00:00.000000000Z,0.109,27592.2,27589.35746521915028068755914,27592.2,897.261,0.0001214808177330787808675513591,1679659140000000000,1679659200000000000,True,permanent,run_dfea4b7ac1475668d5968c97
ETHUSDT,futures,fill-permanent-00000094-1679659200000000000,1679659200000000000,2023-03-24T12:00:00.000000000Z,1.738,1746.83,1746.651222547725505012021826,1746.83,8340.247,0.0002083871137149775060618708295,1679659140000000000,1679659200000000000,True,permanent,run_dfea4b7ac1475668d5968c97
BTCUSDT,spot,fill-permanent-00000335-1679666460000000000,1679666460000000000,2023-03-24T14:01:00.000000000Z,0.10900,27972.48,27975.28334404967756015247837,27972.48,293.30587000,0.0003716257025473100828155945191,1679666400000000000,1679666460000000000,True,permanent,run_dfea4b7ac1475668d5968c97
ETHUSDT,spot,fill-permanent-00000336-1679666460000000000,1679666460000000000,2023-03-24T14:01:00.000000000Z,1.7380,1770.96,1771.140682754896609043074383,1770.96,3635.79670000,0.0004780245276090382061241212964,1679666400000000000,1679666460000000000,True,permanent,run_dfea4b7ac1475668d5968c97
