available_at,economic_window,funding_rate,funding_time,interval_hours,interval_verified,settlement_mark_available_at,settlement_mark_close_time,settlement_mark_method,settlement_mark_price,settlement_mark_proxy_base,settlement_mark_source_file,settlement_mark_stress_bps,source_file,symbol
1639670460000000000,False,0.00010000,1639670400000000000,7.9999975,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1639670460000000000,False,0.00003234,1639670400000000000,7.9999975,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1639699260000000000,False,0.00010000,1639699200000000000,8,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1639699260000000000,False,0.00010000,1639699200000000000,8,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1639728060005000000,False,0.00010000,1639728000005000000,8.000001388888888888888888889,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1639728060005000000,False,0.00010000,1639728000005000000,8.000001388888888888888888889,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1639756860006000000,False,0.00004678,1639756800006000000,8.000000277777777777777777778,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1639756860006000000,False,0.00010000,1639756800006000000,8.000000277777777777777777778,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1639785660014000000,False,0.00009119,1639785600014000000,8.000002222222222222222222222,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1639785660014000000,False,0.00010000,1639785600014000000,8.000002222222222222222222222,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1639814460012000000,False,0.00009221,1639814400012000000,7.999999444444444444444444444,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1639814460012000000,False,0.00005422,1639814400012000000,7.999999444444444444444444444,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1639843260000000000,False,0.00008402,1639843200000000000,7.999996666666666666666666667,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1639843260000000000,False,0.00010000,1639843200000000000,7.999996666666666666666666667,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1639872060031000000,False,0.00007080,1639872000031000000,8.000008611111111111111111111,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1639872060031000000,False,0.00004353,1639872000031000000,8.000008611111111111111111111,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1639900860000000000,False,0.00010000,1639900800000000000,7.999991388888888888888888889,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1639900860000000000,False,0.00010000,1639900800000000000,7.999991388888888888888888889,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1639929660003000000,False,0.00010000,1639929600003000000,8.000000833333333333333333333,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1639929660003000000,False,0.00010000,1639929600003000000,8.000000833333333333333333333,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1639958460015000000,False,0.00010000,1639958400015000000,8.000003333333333333333333333,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1639958460015000000,False,0.00010000,1639958400015000000,8.000003333333333333333333333,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1639987260007000000,False,0.00010000,1639987200007000000,7.999997777777777777777777778,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1639987260007000000,False,0.00010000,1639987200007000000,7.999997777777777777777777778,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1640016060005000000,False,0.00010000,1640016000005000000,7.999999444444444444444444444,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1640016060005000000,False,0.00010000,1640016000005000000,7.999999444444444444444444444,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1640044860003000000,False,0.00009184,1640044800003000000,7.999999444444444444444444444,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1640044860003000000,False,0.00010000,1640044800003000000,7.999999444444444444444444444,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1640073660012000000,False,0.00010000,1640073600012000000,8.0000025,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1640073660012000000,False,0.00010000,1640073600012000000,8.0000025,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1640102460005000000,False,0.00010000,1640102400005000000,7.999998055555555555555555556,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1640102460005000000,False,0.00010000,1640102400005000000,7.999998055555555555555555556,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1640131260000000000,False,0.00010000,1640131200000000000,7.999998611111111111111111111,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1640131260000000000,False,0.00010000,1640131200000000000,7.999998611111111111111111111,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1640160060001000000,False,0.00010000,1640160000001000000,8.000000277777777777777777778,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1640160060001000000,False,0.00010000,1640160000001000000,8.000000277777777777777777778,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1640188860006000000,False,0.00010000,1640188800006000000,8.000001388888888888888888889,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1640188860006000000,False,0.00010000,1640188800006000000,8.000001388888888888888888889,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1640217660011000000,False,0.00009720,1640217600011000000,8.000001388888888888888888889,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1640217660011000000,False,0.00010000,1640217600011000000,8.000001388888888888888888889,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1640246460000000000,False,0.00010000,1640246400000000000,7.999996944444444444444444444,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1640246460000000000,False,0.00010000,1640246400000000000,7.999996944444444444444444444,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1640275260000000000,False,0.00004018,1640275200000000000,8,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1640275260000000000,False,0.00003383,1640275200000000000,8,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1640304060005000000,False,0.00010000,1640304000005000000,8.000001388888888888888888889,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1640304060005000000,False,0.00010000,1640304000005000000,8.000001388888888888888888889,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1640332860000000000,False,0.00010000,1640332800000000000,7.999998611111111111111111111,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1640332860000000000,False,0.00010000,1640332800000000000,7.999998611111111111111111111,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1640361660011000000,False,0.00010000,1640361600011000000,8.000003055555555555555555556,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1640361660011000000,False,0.00010000,1640361600011000000,8.000003055555555555555555556,True,,,not_required_before_start,,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
