symbol,strategy,funding_filter_enabled,time_ns,timestamp_utc,kind,cause,previous,state,order_id,cycle_id,next_expiry_utc,liquidation,next_expiry,purpose,source_run_id
ETHUSDT,conditional,True,1679660880000000000,2023-03-24T12:28:00.000000000Z,attempt_failed,timeout,,,conditional-00000045,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679660940000000000,2023-03-24T12:29:00.000000000Z,attempt_failed,timeout,,,conditional-00000046,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679661000000000000,2023-03-24T12:30:00.000000000Z,attempt_failed,timeout,,,conditional-00000047,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679661060000000000,2023-03-24T12:31:00.000000000Z,attempt_failed,timeout,,,conditional-00000048,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679661120000000000,2023-03-24T12:32:00.000000000Z,attempt_failed,timeout,,,conditional-00000049,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679661180000000000,2023-03-24T12:33:00.000000000Z,attempt_failed,timeout,,,conditional-00000050,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679661240000000000,2023-03-24T12:34:00.000000000Z,attempt_failed,timeout,,,conditional-00000051,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679661300000000000,2023-03-24T12:35:00.000000000Z,attempt_failed,timeout,,,conditional-00000052,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679661360000000000,2023-03-24T12:36:00.000000000Z,attempt_failed,timeout,,,conditional-00000053,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679661420000000000,2023-03-24T12:37:00.000000000Z,attempt_failed,timeout,,,conditional-00000054,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679661480000000000,2023-03-24T12:38:00.000000000Z,attempt_failed,timeout,,,conditional-00000055,,,,,close_spot,run_ad71d751b20623006c195ff3
