time_ns,symbol,anchor,valid,forecast,no_change,history_start,reason
1640966460000000000,BTCUSDT,1640966400000000000,True,0.001741294598199389493034768713,0.002100000656250205078189086934,1639728000005000000,
1640995260006000000,BTCUSDT,1640995200006000000,True,0.001815306428948212415256468724,0.002099999562500091145814344622,1639756800006000000,
1641024060009000000,BTCUSDT,1641024000009000000,True,0.001874040372795722793898060191,0.002099999781250022786455959744,1639785600014000000,
1641052860000000000,BTCUSDT,1641052800000000000,True,0.001920659448443394750032589783,0.002100000656250205078189086934,1639843200000000000,
1641081660028000000,BTCUSDT,1641081600028000000,True,0.001957658716371901069762689421,0.002099997958335318285107222812,1639843200000000000,
1641110460000000000,BTCUSDT,1641110400000000000,True,0.001987028747205889261350229728,0.002100002041668651622300188347,1639900800000000000,
1641139260000000000,BTCUSDT,1641139200000000000,True,0.002010335786455687465594620450,0.00210000,1639900800000000000,
1641168060010000000,BTCUSDT,1641168000010000000,True,0.002028833322481251930914056821,0.002099999270833586516115793015,1639929600003000000,
1641196860013000000,BTCUSDT,1641196800013000000,True,0.002043514215673493223515961142,0.002099999781250022786455959744,1639987200007000000,
1641225660018000000,BTCUSDT,1641225600018000000,True,0.002055167129981490562381740101,0.002099999635416729962373270421,1640016000005000000,
1641254460000000000,BTCUSDT,1641254400000000000,True,0.002064416840636883661848484648,0.002100001312500820313012695633,1640016000005000000,
1641283260010000000,BTCUSDT,1641283200010000000,True,0.002071759192436645539769051978,0.002099999270833586516115793015,1640044800003000000,
1641312060002000000,BTCUSDT,1641312000002000000,True,0.002077585374947990069300293733,0.002100000583333495370415380671,1640073600012000000,
1641340860001000000,BTCUSDT,1641340800001000000,True,0.002082209291179369079605881817,0.002100000072916669198495458281,1640131200000000000,
1641369660017000000,BTCUSDT,1641369600017000000,True,0.002085879266361566913503601614,0.002099998833333981481121399377,1640160000001000000,
1641398460000000000,BTCUSDT,1641398400000000000,True,0.002088792761448974015534140320,0.002100001239584065032260609320,1640160000001000000,
1641427260002000000,BTCUSDT,1641427200002000000,True,0.002091104778952861110784375304,0.002099999854166676793980778196,1640188800006000000,
1641456060021000000,BTCUSDT,1641456000021000000,True,0.002092940072503301555492246682,0.002099998614584247322892391147,1640246400000000000,
1641484860006000000,BTCUSDT,1641484800006000000,True,0.002094412575415659876917415852,0.002100001093750569661755032164,1640275200000000000,
1641513660005000000,BTCUSDT,1641513600005000000,True,0.002095565273179567965261335535,0.002100000072916669198495458281,1640304000005000000,
1641542460000000000,BTCUSDT,1641542400000000000,True,0.002096480230050019758951877878,0.002100000364583396629061914768,1640332800000000000,
1641571260001000000,BTCUSDT,1641571200001000000,True,0.002097206376901965163538928091,0.002099999927083335865161949126,1640332800000000000,
1641600060014000000,BTCUSDT,1641600000014000000,True,0.002097782476644088074269094842,0.002099999052083761212191119497,1640390400000000000,
1641628860013000000,BTCUSDT,1641628800013000000,True,0.002098239965572398162580161397,0.002100000072916669198495458281,1640419200001000000,
1641657660000000000,BTCUSDT,1641657600000000000,True,0.002098603272742134041559924703,0.002100000947917094545910732529,1640419200001000000,
1641686460003000000,BTCUSDT,1641686400003000000,True,0.002098891371744292948532870833,0.002099999781250022786455959744,1640448000005000000,
1641715260000000000,BTCUSDT,1641715200000000000,True,0.002099120126277007508862626731,0.002100000218750022786460706923,1640476800004000000,
1641744060000000000,BTCUSDT,1641744000000000000,True,0.002099301634966719997684087083,0.00210000,1640534400000000000,
1641772860000000000,BTCUSDT,1641772800000000000,True,0.002099445714285895500958778100,0.00210000,1640534400000000000,
1641801660010000000,BTCUSDT,1641801600010000000,True,0.001862222633718162927024454710,0.0009496196702709478225875616015,1640592000005000000,
1641830460007000000,BTCUSDT,1641830400007000000,True,0.001911276019227459350890016737,0.002100000218750022786460706923,1640620800000000000,
1641859260013000000,BTCUSDT,1641859200013000000,True,0.001950209594793645992389209915,0.002099999562500091145814344622,1640649600000000000,
1641888060004000000,BTCUSDT,1641888000004000000,True,0.001868207979554627419598954887,0.001552740485231401634813010879,1640649600000000000,
1641916860000000000,BTCUSDT,1641916800000000000,True,0.001916024288566342677483670236,0.002100000291666707175931552213,1640707200000000000,
1641945660012000000,BTCUSDT,1641945600012000000,True,0.001313973432695757254878876104,-0.001002119582450173979094175377,1640736000006000000,
1641974460015000000,BTCUSDT,1641974400015000000,True,0.001459883195618414372378547901,0.002021249789453146931963861254,1640764800003000000,
1642003260000000000,BTCUSDT,1642003200000000000,True,0.0009272535352186376131085560160,-0.001121820584281554313309538182,1640764800003000000,
1642032060007000000,BTCUSDT,1642032000007000000,True,0.0004107219499075320564039543659,-0.001576259616881343119117991881,1640822400003000000,
1642060860000000000,BTCUSDT,1642060800000000000,True,0.0007592360288030740726873907156,0.002100000510416790726303301532,1640822400003000000,
1642089660014000000,BTCUSDT,1642089600014000000,True,0.0003391257197776065326473867488,-0.001277009379231551762440115480,1640851200001000000,
1642118460000000000,BTCUSDT,1642118400000000000,True,0.0002947917008366359607059239053,0.0001243200604333627106624287942,1640880000017000000,
1642147260006000000,BTCUSDT,1642147200006000000,True,-0.0001633073172523978699746149544,-0.001925699598812583580711754018,1640908800006000000,
1642176060014000000,BTCUSDT,1642176000014000000,True,-0.0004179975852542682935197753737,-0.001397549611791774502284860476,1640966400000000000,
