scenario,strategy,run_id,period,symbol,covered_seconds,unhedged_seconds,dust_seconds,flat_seconds,invested_seconds,raw_invested_seconds,raw_unhedged_seconds,dust_only_seconds,no_active_seconds,no_inventory_seconds,calendar_seconds,cash_seconds,covered_fraction,unhedged_fraction,dust_fraction,flat_fraction,invested_fraction,raw_invested_fraction,raw_unhedged_fraction,dust_only_fraction,no_active_fraction,no_inventory_fraction,cash_fraction,both_covered_seconds,any_covered_seconds,any_unhedged_seconds,cash_or_dust_seconds,both_covered_fraction,any_covered_fraction,any_unhedged_fraction,cash_or_dust_fraction
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023-03-24,BTCUSDT,0,0,0,86400.000000000,0E-9,0E-9,0E-9,0E-9,86400.000000000,86400.000000000,86400,86400.000000000,0,0,0,1.000000000,0E-9,0E-9,0E-9,0E-9,1.000000000,1.000000000,1.000000000,,,,,,,,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023-03-24,ETHUSDT,43200,7260,35940.000000000,0,50460.000000000,86400.000000000,43200.000000000,35940.000000000,35940.000000000,0E-9,86400,0E-9,0.5,0.08402777777777777777777777778,0.4159722222222222222222222222,0,0.5840277777777777777777777778,1.000000000,0.500000000,0.4159722222222222222222222222,0.4159722222222222222222222222,0E-9,0E-9,,,,,,,,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023-03-24,PORTFOLIO,43200.000000000,7260.000000000,35940.000000000,,50460.000000000,86400.000000000,43200.000000000,35940.000000000,35940.000000000,0E-9,86400,0E-9,0.500000000,0.08402777777777777777777777778,0.4159722222222222222222222222,,0.5840277777777777777777777778,1.000000000,0.500000000,0.4159722222222222222222222222,0.4159722222222222222222222222,0E-9,0E-9,0E-9,43200.000000000,7260.000000000,35940.000000000,0E-9,0.500000000,0.08402777777777777777777777778,0.4159722222222222222222222222
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2023-03-24,BTCUSDT,43200,7260,35940.000000000,0,50460.000000000,86400.000000000,43200.000000000,35940.000000000,35940.000000000,0E-9,86400,0E-9,0.5,0.08402777777777777777777777778,0.4159722222222222222222222222,0,0.5840277777777777777777777778,1.000000000,0.500000000,0.4159722222222222222222222222,0.4159722222222222222222222222,0E-9,0E-9,,,,,,,,
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2023-03-24,ETHUSDT,43200,7260,35940.000000000,0,50460.000000000,86400.000000000,43200.000000000,35940.000000000,35940.000000000,0E-9,86400,0E-9,0.5,0.08402777777777777777777777778,0.4159722222222222222222222222,0,0.5840277777777777777777777778,1.000000000,0.500000000,0.4159722222222222222222222222,0.4159722222222222222222222222,0E-9,0E-9,,,,,,,,
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2023-03-24,PORTFOLIO,43200.000000000,7260.000000000,35940.000000000,,50460.000000000,86400.000000000,43200.000000000,35940.000000000,35940.000000000,0E-9,86400,0E-9,0.500000000,0.08402777777777777777777777778,0.4159722222222222222222222222,,0.5840277777777777777777777778,1.000000000,0.500000000,0.4159722222222222222222222222,0.4159722222222222222222222222,0E-9,0E-9,43200.000000000,43200.000000000,7260.000000000,35940.000000000,0.500000000,0.500000000,0.08402777777777777777777777778,0.4159722222222222222222222222
