scenario,strategy,run_id,period,symbol,observations,excluded,exclusion_reasons,weight,mae_ewma,mae_no_change
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2024,BTCUSDT,1098,0,{},0.5,0.0007620327403636963496922300035,0.0009242768300233504932302574863
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2024,ETHUSDT,1098,0,{},0.5,0.0007437248359846636040328086079,0.0009062940543107856617976401093
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2024,EQUAL_WEIGHT,2196,0,see asset rows,1,0.0007528787881741799768625193055,0.000915285442167068077513948798
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2025,BTCUSDT,1095,0,{},0.5,0.0003860384595015694309513059361,0.0005907157733543660221194585936
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2025,ETHUSDT,1095,0,{},0.5,0.0004355696043538309442595068493,0.0006638013312051614003555216347
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2025,EQUAL_WEIGHT,2190,0,see asset rows,1,0.0004108040319277001876054063927,0.000627258552279763711237490114
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2026,BTCUSDT,707,22,"{""funding_calendar_boundary_unverified"": 1, ""horizon_outside_sample"": 21}",0.5,0.0004019129757656670348710042433,0.0006051677861829238509684582744
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2026,ETHUSDT,707,22,"{""funding_calendar_boundary_unverified"": 1, ""horizon_outside_sample"": 21}",0.5,0.0004822225134618685572545544554,0.0007742086825071785946858557284
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2026,EQUAL_WEIGHT,1414,44,see asset rows,1,0.0004420677446137677960627793494,0.0006896882343450512228271570015
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,full,BTCUSDT,5090,22,"{""funding_calendar_boundary_unverified"": 1, ""horizon_outside_sample"": 21}",0.5,0.0005738673687550344265736146450,0.0007883688661062381786037283772
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,full,ETHUSDT,5090,22,"{""funding_calendar_boundary_unverified"": 1, ""horizon_outside_sample"": 21}",0.5,0.0006859281684077233802725445059,0.0009522955567889761709151788703
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,full,EQUAL_WEIGHT,10180,44,see asset rows,1,0.0006298977685813789034230795755,0.000870332211447607174759453624
