scenario,strategy,run_id,period,symbol,covered_seconds,unhedged_seconds,dust_seconds,flat_seconds,invested_seconds,raw_invested_seconds,raw_unhedged_seconds,dust_only_seconds,no_active_seconds,no_inventory_seconds,calendar_seconds,cash_seconds,covered_fraction,unhedged_fraction,dust_fraction,flat_fraction,invested_fraction,raw_invested_fraction,raw_unhedged_fraction,dust_only_fraction,no_active_fraction,no_inventory_fraction,cash_fraction,both_covered_seconds,any_covered_seconds,any_unhedged_seconds,cash_or_dust_seconds,both_covered_fraction,any_covered_fraction,any_unhedged_fraction,cash_or_dust_fraction
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,BTCUSDT,23978940.000000000,1440,64435440.000000000,58809780.000000000,23980380.000000000,88415820.000000000,64436880.000000000,64435440.000000000,123245220.000000000,58809780.000000000,147225600,58809780.000000000,0.1628720820292123109024517475,0.000009780907668231611893583724570,0.4376646452790818988002086594,0.3994534917840375586854460094,0.1628818629368805425143453312,0.6005465082159624413145539906,0.4376744261867501304121022431,0.4376646452790818988002086594,0.8371181370631194574856546688,0.3994534917840375586854460094,0.3994534917840375586854460094,,,,,,,,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,ETHUSDT,40477020.000000000,9960,74050440.000000000,32688180.000000000,40486980.000000000,114537420.000000000,74060400.000000000,74050440.000000000,106738620.000000000,32688180.000000000,147225600,32688180.000000000,0.2749319411841418883672404799,0.00006765127803860198226395409494,0.5029725808555033907146583203,0.2220278266823161189358372457,0.2749995924621804903495044340,0.7779721733176838810641627543,0.5030402321335419926969222744,0.5029725808555033907146583203,0.7250004075378195096504955660,0.2220278266823161189358372457,0.2220278266823161189358372457,,,,,,,,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,PORTFOLIO,41682240.000000000,11340.000000000,85633920.000000000,,41691120.000000000,114537420.000000000,85644240.000000000,72846300.000000000,105534480.000000000,32688180.000000000,147225600,32688180.000000000,0.2831181533646322378716744914,0.00007702464788732394366197183099,0.5816510172143974960876369327,,0.2831784689619196661450182577,0.7779721733176838810641627543,0.5817211137193531559728742827,0.4947937043557642149191444966,0.7168215310380803338549817423,0.2220278266823161189358372457,0.2220278266823161189358372457,22773720.000000000,41682240.000000000,11340.000000000,105534480.000000000,0.1546858698487219613980177360,0.2831181533646322378716744914,0.00007702464788732394366197183099,0.7168215310380803338549817423
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,BTCUSDT,4261980.000000000,240,0,58809780.000000000,4262220.000000000,4262220.000000000,240.000000000,0E-9,58809780.000000000,58809780.000000000,63072000,58809780.000000000,0.06757324961948249619482496195,0.000003805175038051750380517503805,0,0.9324229452054794520547945205,0.06757705479452054794520547945,0.06757705479452054794520547945,0.000003805175038051750380517503805,0E-9,0.9324229452054794520547945205,0.9324229452054794520547945205,0.9324229452054794520547945205,,,,,,,,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,ETHUSDT,10381620.000000000,7860,19994340.000000000,32688180.000000000,10389480.000000000,30383820.000000000,20002200.000000000,19994340.000000000,52682520.000000000,32688180.000000000,63072000,32688180.000000000,0.1645995053272450532724505327,0.0001246194824961948249619482496,0.3170081811263318112633181126,0.5182676940639269406392694064,0.1647241248097412480974124810,0.4817323059360730593607305936,0.3171328006088280060882800609,0.3170081811263318112633181126,0.8352758751902587519025875190,0.5182676940639269406392694064,0.5182676940639269406392694064,,,,,,,,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,PORTFOLIO,10381680.000000000,8100.000000000,19994340.000000000,,10389480.000000000,30383820.000000000,20002440.000000000,19994340.000000000,52682520.000000000,32688180.000000000,63072000,32688180.000000000,0.1646004566210045662100456621,0.0001284246575342465753424657534,0.3170081811263318112633181126,,0.1647241248097412480974124810,0.4817323059360730593607305936,0.3171366057838660578386605784,0.3170081811263318112633181126,0.8352758751902587519025875190,0.5182676940639269406392694064,0.5182676940639269406392694064,4261920.000000000,10381680.000000000,8100.000000000,52682520.000000000,0.06757229832572298325722983257,0.1646004566210045662100456621,0.0001284246575342465753424657534,0.8352758751902587519025875190
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,BTCUSDT,19716960.000000000,1200,64435440.000000000,0,19718160.000000000,84153600.000000000,64436640.000000000,64435440.000000000,64435440.000000000,0E-9,84153600,0E-9,0.2342972849646360939995436915,0.00001425963951631302760666210358,0.7656884553958475929728496464,0,0.2343115446041524070271503536,1.000000000,0.7657027150353639060004563085,0.7656884553958475929728496464,0.7656884553958475929728496464,0E-9,0E-9,,,,,,,,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,ETHUSDT,30095400.000000000,2100,54056100.000000000,0,30097500.000000000,84153600.000000000,54058200.000000000,54056100.000000000,54056100.000000000,0E-9,84153600,0E-9,0.3576246292493725758612822268,0.00002495436915354779831165868127,0.6423504163814738763404061145,0,0.3576495836185261236595938855,1.000000000,0.6423753707506274241387177732,0.6423504163814738763404061145,0.6423504163814738763404061145,0E-9,0E-9,,,,,,,,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,PORTFOLIO,31300560.000000000,3240.000000000,65639580.000000000,,31301640.000000000,84153600.000000000,65641800.000000000,52851960.000000000,52851960.000000000,0E-9,84153600,0E-9,0.3719455852156057494866529774,0.00003850102669404517453798767967,0.7799972906684919005247547342,,0.3719584188911704312114989733,1.000000000,0.7800236710015970796258270591,0.6280415811088295687885010267,0.6280415811088295687885010267,0E-9,0E-9,18511800.000000000,31300560.000000000,3240.000000000,52851960.000000000,0.2199763289984029203741729409,0.3719455852156057494866529774,0.00003850102669404517453798767967,0.6280415811088295687885010267
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,BTCUSDT,0,0,0,31536000.000000000,0E-9,0E-9,0E-9,0E-9,31536000.000000000,31536000.000000000,31536000,31536000.000000000,0,0,0,1.000000000,0E-9,0E-9,0E-9,0E-9,1.000000000,1.000000000,1.000000000,,,,,,,,
