scenario,strategy,run_id,period,symbol,spot_pnl_usdt,futures_pnl_usdt,funding_usdt,fees_usdt,liquidation_fees_usdt,slippage_informational_usdt,spot_realized_pnl_usdt,spot_unrealized_pnl_usdt,futures_realized_pnl_usdt,futures_unrealized_pnl_usdt,net_pnl_usdt
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,BTCUSDT,2536.434766313400000000000000,-2530.000700000000000000000000,354.8101028673891782148,-45.1818994234,0,6.052255360734292845718653717,2536.448942802128693471417312,-0.014176488728693471417312,-2530.000700000000000000000000,0E-25,316.0622697573891782148000000
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,ETHUSDT,-325.241161832000000000000000,368.5127100000000000000000000,496.1449603447767586852,-69.715728623,0,9.295551019978136550999387529,-325.237953822281749922982838,-0.003208009718250077017162,368.512710000000000000000001,-2.3E-26,469.7007798897767586852000012
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,BTCUSDT,413.1935621840000000,-414.7721268935199999999999998,70.3567840205436728717,-5.4694558330,0,0.7346982801759661947065134436,60.0113000,353.1822621840000000,-60.3640,-354.4081268935199999999999998,63.30876347802367287170000024
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,ETHUSDT,872.3856655829999999999999997,-826.5389714784599999999999989,130.5236521762044512580,-22.238398696,0,2.855772292787483885448397940,560.6324845934466274456304127,311.753180989553372554369587,-520.5288499999999999999999989,-306.0101214784600000000000000,154.1319475847444512580000008
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,BTCUSDT,2123.241204129400000000000000,-2115.228573106480000000000000,284.4533188468455053431,-39.7124435904,0,5.317557080558326651012140273,2476.437642802128693471417312,-353.196438672728693471417312,-2469.636700000000000000000000,354.4081268935199999999999998,252.7535062793655053430999998
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,ETHUSDT,-1197.626827415000000000000000,1195.051681478459999999999999,365.6213081685723074272,-47.477329927,0,6.439778727190652665550989589,-885.870438415728377368613251,-311.756388999271622631386749,889.041560000000000000000000,306.0101214784600000000000000,315.5688323050323074272000004
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,BTCUSDT,0,0E-8,0,0,0,0,0,0,0,0E-8,0E-8
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,ETHUSDT,0,0E-8,0,0,0,0,0,0,0,0E-8,0E-8
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,BTCUSDT,413.1935621840000000,-414.7721268935199999999999998,70.3567840205436728717,-5.4694558330,0,0.7346982801759661947065134436,60.0113000,353.1822621840000000,-60.3640,-354.4081268935199999999999998,63.30876347802367287170000024
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,ETHUSDT,872.3856655829999999999999997,-826.5389714784599999999999989,130.5236521762044512580,-22.238398696,0,2.855772292787483885448397940,560.6324845934466274456304127,311.753180989553372554369587,-520.5288499999999999999999989,-306.0101214784600000000000000,154.1319475847444512580000008
