scenario,strategy,run_id,period,observed_days,valid_days,coverage_complete,opportunity_mean,eligible_fraction,portfolio_cagr,source_run_id,provenance,h3_descriptive
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2024,366,366,True,0.001069716478388937008777649469,0.1692091681845780206435944141,0.05089901278820367,run_d434594cde4077ba6661d7e4,observado_en_corrida,contraria
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2025,365,365,True,0,0,0.003107028967548997,run_d434594cde4077ba6661d7e4,observado_en_corrida,contraria
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2026,243,243,True,0,0,-1.3560882116923374e-05,run_d434594cde4077ba6661d7e4,observado_en_corrida,contraria
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,full,1704,1704,True,0.0002871869227902217203304184935,0.04703353221178925404277516954,0.03388754609591999,run_d3ebbfeb6f98be343782ccbb,observado_en_corrida,not_used_for_H3_cagr
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2022-2023,730,730,True,0.0001340414867728587208635800106,0.02495148401826484018264840182,0.03049736156757704,run_d3ebbfeb6f98be343782ccbb,observado_en_corrida,not_used_for_H3_cagr
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2024+,974,974,True,0.0004019673830496416275283569873,0.06358373260323979009810631987,0.03643575428154398,run_d3ebbfeb6f98be343782ccbb,observado_en_corrida,not_used_for_H3_cagr
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2022,365,365,True,0,0,0.0110764896990565,run_d3ebbfeb6f98be343782ccbb,observado_en_corrida,not_used_for_H3_cagr
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2023,365,365,True,0.0002680829735457174417271600212,0.04990296803652968036529680364,0.0502912717452424,run_d3ebbfeb6f98be343782ccbb,observado_en_corrida,not_used_for_H3_cagr
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2024,366,366,True,0.001069716478388937008777649469,0.1692091681845780206435944141,0.06452480225202852,run_d3ebbfeb6f98be343782ccbb,observado_en_corrida,not_used_for_H3_cagr
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2025,365,365,True,0,0,0.027285095715736674,run_d3ebbfeb6f98be343782ccbb,observado_en_corrida,not_used_for_H3_cagr
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2026,243,243,True,0,0,0.008870970697021741,run_d3ebbfeb6f98be343782ccbb,observado_en_corrida,not_used_for_H3_cagr
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,full,1704,1704,True,0.0002977981445627555930091525735,0.05163789449660928534167970786,0.03388754609591999,run_a45c9456ea5d541c9ddce187,observado_en_corrida,not_used_for_H3_cagr
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2022-2023,730,730,True,0.0001588106948555953222944880545,0.03569920091324200913242009129,0.03049736156757704,run_a45c9456ea5d541c9ddce187,observado_en_corrida,not_used_for_H3_cagr
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2024+,974,974,True,0.0004019673830496416275283569873,0.06358373260323979009810631987,0.03643575428154398,run_a45c9456ea5d541c9ddce187,observado_en_corrida,not_used_for_H3_cagr
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2022,365,365,True,8.938634046252536683762513970E-7,0.0005032343987823439878234398784,0.0110764896990565,run_a45c9456ea5d541c9ddce187,observado_en_corrida,not_used_for_H3_cagr
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2023,365,365,True,0.0003167275263065653909205998575,0.07089516742770167427701674271,0.0502912717452424,run_a45c9456ea5d541c9ddce187,observado_en_corrida,not_used_for_H3_cagr
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2024,366,366,True,0.001069716478388937008777649469,0.1692091681845780206435944141,0.06452480225202852,run_a45c9456ea5d541c9ddce187,observado_en_corrida,not_used_for_H3_cagr
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2025,365,365,True,0,0,0.027285095715736674,run_a45c9456ea5d541c9ddce187,observado_en_corrida,not_used_for_H3_cagr
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2026,243,243,True,0,0,0.008870970697021741,run_a45c9456ea5d541c9ddce187,observado_en_corrida,not_used_for_H3_cagr
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,full,1704,1704,True,0.0002871869227902217203304184935,0.04703353221178925404277516954,0.01648708339087119,run_d17c6848d9a0c5c85249b152,observado_en_corrida,contraria
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2022-2023,730,730,True,0.0001340414867728587208635800106,0.02495148401826484018264840182,0.010890118702890568,run_d17c6848d9a0c5c85249b152,observado_en_corrida,contraria
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2024+,974,974,True,0.0004019673830496416275283569873,0.06358373260323979009810631987,0.020702240696678004,run_d17c6848d9a0c5c85249b152,observado_en_corrida,contraria
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2022,365,365,True,0,0,0.0,run_d17c6848d9a0c5c85249b152,observado_en_corrida,contraria
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2023,365,365,True,0.0002680829735457174417271600212,0.04990296803652968036529680364,0.021898832091144182,run_d17c6848d9a0c5c85249b152,observado_en_corrida,contraria
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2024,366,366,True,0.001069716478388937008777649469,0.1692091681845780206435944141,0.05273093058954009,run_d17c6848d9a0c5c85249b152,observado_en_corrida,contraria
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2025,365,365,True,0,0,0.0031644276361406654,run_d17c6848d9a0c5c85249b152,observado_en_corrida,contraria
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2026,243,243,True,0,0,-1.2270939156847752e-05,run_d17c6848d9a0c5c85249b152,observado_en_corrida,contraria
