period,symbol,expected_days,valid_days,excluded_days,opportunity_mean,eligible_fraction,conditional_cagr,h3_verdict
full,BTCUSDT,1704,1704,0,0.0002637565849997289220603322794,0.04344719940010432968179447052,0.016334619265711003,contraria_descriptiva
full,ETHUSDT,1704,1704,0,0.0003106172605807145186005047085,0.05061986502347417840375586856,0.016334619265711003,contraria_descriptiva
full,EQUAL_WEIGHT,1704,1704,0,0.0002871869227902217203304184941,0.04703353221178925404277516954,0.016334619265711003,contraria_descriptiva
2022-2023,BTCUSDT,730,730,0,0.0001057757753606265800660597981,0.02039668949771689497716894977,0.010813568916779426,contraria_descriptiva
2022-2023,ETHUSDT,730,730,0,0.0001623071981850908616611002221,0.02950627853881278538812785388,0.010813568916779426,contraria_descriptiva
2022-2023,EQUAL_WEIGHT,730,730,0,0.0001340414867728587208635800101,0.02495148401826484018264840182,0.010813568916779426,contraria_descriptiva
2024-2026-08,BTCUSDT,974,974,0,0.0003821610932508015192428978971,0.06072324891626739676020990189,0.02049233427612318,contraria_descriptiva
2024-2026-08,ETHUSDT,974,974,0,0.0004217736728484817358138160793,0.06644421629021218343600273787,0.02049233427612318,contraria_descriptiva
2024-2026-08,EQUAL_WEIGHT,974,974,0,0.0004019673830496416275283569883,0.06358373260323979009810631987,0.02049233427612318,contraria_descriptiva
