count,diagnostic,scenario,scope,strategy,symbol,window
1087,filter_funding:diagnostic_fail_not_applied,joint_sizing_only,theoretical_not_applied,permanent,ETHUSDT,early
59,filter_sizing:reject,joint_sizing_only,simultaneous_filter_states,permanent,ETHUSDT,early
984,filter_state_active:reject,joint_sizing_only,simultaneous_filter_states,permanent,ETHUSDT,early
102,ordered_reject:basis_negative,joint_sizing_only,sequential_first_rejection,permanent,ETHUSDT,early
6,ordered_reject:cooldown,joint_sizing_only,sequential_first_rejection,permanent,ETHUSDT,early
984,ordered_reject:state_active,joint_sizing_only,sequential_first_rejection,permanent,ETHUSDT,early
1092,simultaneous_reject,joint_sizing_only,simultaneous_filter_states,permanent,ETHUSDT,early
3,renewal_outcome:HOLDING,joint_sizing_only,renewal_diagnostics,conditional,PORTFOLIO,early
6,renewal_outcome:REBALANCING,joint_sizing_only,renewal_diagnostics,conditional,PORTFOLIO,early
48,renewal_outcome:HOLDING,joint_sizing_only,renewal_diagnostics,permanent,PORTFOLIO,early
28,renewal_outcome:REBALANCING,joint_sizing_only,renewal_diagnostics,permanent,PORTFOLIO,early
1095,stored_decision:funding_not_above_cost,legacy_reference,legacy_single_decision,conditional,BTCUSDT,early
1,stored_decision:accepted,legacy_reference,legacy_single_decision,conditional,ETHUSDT,early
884,stored_decision:funding_not_above_cost,legacy_reference,legacy_single_decision,conditional,ETHUSDT,early
210,stored_decision:state_or_cooldown,legacy_reference,legacy_single_decision,conditional,ETHUSDT,early
5,stored_decision:accepted,legacy_reference,legacy_single_decision,permanent,BTCUSDT,early
748,stored_decision:basis_outside_entry_range,legacy_reference,legacy_single_decision,permanent,BTCUSDT,early
342,stored_decision:state_or_cooldown,legacy_reference,legacy_single_decision,permanent,BTCUSDT,early
3,stored_decision:accepted,legacy_reference,legacy_single_decision,permanent,ETHUSDT,early
102,stored_decision:basis_outside_entry_range,legacy_reference,legacy_single_decision,permanent,ETHUSDT,early
990,stored_decision:state_or_cooldown,legacy_reference,legacy_single_decision,permanent,ETHUSDT,early
1044,filter_basis_negative:reject,vwap_joint,simultaneous_filter_states,conditional,BTCUSDT,early
1095,filter_funding:reject,vwap_joint,simultaneous_filter_states,conditional,BTCUSDT,early
1095,ordered_reject:funding,vwap_joint,sequential_first_rejection,conditional,BTCUSDT,early
1095,simultaneous_reject,vwap_joint,simultaneous_filter_states,conditional,BTCUSDT,early
1006,filter_basis_negative:reject,vwap_joint,simultaneous_filter_states,conditional,ETHUSDT,early
15,filter_budget:not_evaluable,vwap_joint,simultaneous_filter_states,conditional,ETHUSDT,early
6,filter_cooldown:reject,vwap_joint,simultaneous_filter_states,conditional,ETHUSDT,early
1087,filter_funding:reject,vwap_joint,simultaneous_filter_states,conditional,ETHUSDT,early
15,filter_sizing:reject,vwap_joint,simultaneous_filter_states,conditional,ETHUSDT,early
203,filter_state_active:reject,vwap_joint,simultaneous_filter_states,conditional,ETHUSDT,early
6,ordered_reject:cooldown,vwap_joint,sequential_first_rejection,conditional,ETHUSDT,early
884,ordered_reject:funding,vwap_joint,sequential_first_rejection,conditional,ETHUSDT,early
203,ordered_reject:state_active,vwap_joint,sequential_first_rejection,conditional,ETHUSDT,early
1093,simultaneous_reject,vwap_joint,simultaneous_filter_states,conditional,ETHUSDT,early
1044,filter_basis_negative:reject,vwap_joint,simultaneous_filter_states,permanent,BTCUSDT,early
288,filter_budget:not_evaluable,vwap_joint,simultaneous_filter_states,permanent,BTCUSDT,early
16,filter_budget:reject,vwap_joint,simultaneous_filter_states,permanent,BTCUSDT,early
6,filter_cooldown:reject,vwap_joint,simultaneous_filter_states,permanent,BTCUSDT,early
1095,filter_funding:diagnostic_fail_not_applied,vwap_joint,theoretical_not_applied,permanent,BTCUSDT,early
288,filter_sizing:reject,vwap_joint,simultaneous_filter_states,permanent,BTCUSDT,early
713,filter_state_active:reject,vwap_joint,simultaneous_filter_states,permanent,BTCUSDT,early
373,ordered_reject:basis_negative,vwap_joint,sequential_first_rejection,permanent,BTCUSDT,early
6,ordered_reject:cooldown,vwap_joint,sequential_first_rejection,permanent,BTCUSDT,early
713,ordered_reject:state_active,vwap_joint,sequential_first_rejection,permanent,BTCUSDT,early
1092,simultaneous_reject,vwap_joint,simultaneous_filter_states,permanent,BTCUSDT,early
1006,filter_basis_negative:reject,vwap_joint,simultaneous_filter_states,permanent,ETHUSDT,early
51,filter_budget:not_evaluable,vwap_joint,simultaneous_filter_states,permanent,ETHUSDT,early
184,filter_budget:reject,vwap_joint,simultaneous_filter_states,permanent,ETHUSDT,early
6,filter_cooldown:reject,vwap_joint,simultaneous_filter_states,permanent,ETHUSDT,early
1087,filter_funding:diagnostic_fail_not_applied,vwap_joint,theoretical_not_applied,permanent,ETHUSDT,early
51,filter_sizing:reject,vwap_joint,simultaneous_filter_states,permanent,ETHUSDT,early
984,filter_state_active:reject,vwap_joint,simultaneous_filter_states,permanent,ETHUSDT,early
102,ordered_reject:basis_negative,vwap_joint,sequential_first_rejection,permanent,ETHUSDT,early
6,ordered_reject:cooldown,vwap_joint,sequential_first_rejection,permanent,ETHUSDT,early
984,ordered_reject:state_active,vwap_joint,sequential_first_rejection,permanent,ETHUSDT,early
1092,simultaneous_reject,vwap_joint,simultaneous_filter_states,permanent,ETHUSDT,early
3,renewal_outcome:HOLDING,vwap_joint,renewal_diagnostics,conditional,PORTFOLIO,early
6,renewal_outcome:REBALANCING,vwap_joint,renewal_diagnostics,conditional,PORTFOLIO,early
51,renewal_outcome:HOLDING,vwap_joint,renewal_diagnostics,permanent,PORTFOLIO,early
26,renewal_outcome:REBALANCING,vwap_joint,renewal_diagnostics,permanent,PORTFOLIO,early
1044,filter_basis_negative:reject,vwap_only,simultaneous_filter_states,conditional,BTCUSDT,early
1095,filter_funding:reject,vwap_only,simultaneous_filter_states,conditional,BTCUSDT,early
1095,ordered_reject:funding,vwap_only,sequential_first_rejection,conditional,BTCUSDT,early
1095,simultaneous_reject,vwap_only,simultaneous_filter_states,conditional,BTCUSDT,early
1006,filter_basis_negative:reject,vwap_only,simultaneous_filter_states,conditional,ETHUSDT,early
117,filter_budget:not_evaluable,vwap_only,simultaneous_filter_states,conditional,ETHUSDT,early
6,filter_cooldown:reject,vwap_only,simultaneous_filter_states,conditional,ETHUSDT,early
1087,filter_funding:reject,vwap_only,simultaneous_filter_states,conditional,ETHUSDT,early
117,filter_sizing:reject,vwap_only,simultaneous_filter_states,conditional,ETHUSDT,early
203,filter_state_active:reject,vwap_only,simultaneous_filter_states,conditional,ETHUSDT,early
6,ordered_reject:cooldown,vwap_only,sequential_first_rejection,conditional,ETHUSDT,early
884,ordered_reject:funding,vwap_only,sequential_first_rejection,conditional,ETHUSDT,early
203,ordered_reject:state_active,vwap_only,sequential_first_rejection,conditional,ETHUSDT,early
1093,simultaneous_reject,vwap_only,simultaneous_filter_states,conditional,ETHUSDT,early
1044,filter_basis_negative:reject,vwap_only,simultaneous_filter_states,permanent,BTCUSDT,early
161,filter_budget:not_evaluable,vwap_only,simultaneous_filter_states,permanent,BTCUSDT,early
78,filter_budget:reject,vwap_only,simultaneous_filter_states,permanent,BTCUSDT,early
21,filter_cooldown:reject,vwap_only,simultaneous_filter_states,permanent,BTCUSDT,early
1095,filter_funding:diagnostic_fail_not_applied,vwap_only,theoretical_not_applied,permanent,BTCUSDT,early
161,filter_sizing:reject,vwap_only,simultaneous_filter_states,permanent,BTCUSDT,early
433,filter_state_active:reject,vwap_only,simultaneous_filter_states,permanent,BTCUSDT,early
634,ordered_reject:basis_negative,vwap_only,sequential_first_rejection,permanent,BTCUSDT,early
21,ordered_reject:cooldown,vwap_only,sequential_first_rejection,permanent,BTCUSDT,early
433,ordered_reject:state_active,vwap_only,sequential_first_rejection,permanent,BTCUSDT,early
1088,simultaneous_reject,vwap_only,simultaneous_filter_states,permanent,BTCUSDT,early
1006,filter_basis_negative:reject,vwap_only,simultaneous_filter_states,permanent,ETHUSDT,early
390,filter_budget:not_evaluable,vwap_only,simultaneous_filter_states,permanent,ETHUSDT,early
82,filter_budget:reject,vwap_only,simultaneous_filter_states,permanent,ETHUSDT,early
6,filter_cooldown:reject,vwap_only,simultaneous_filter_states,permanent,ETHUSDT,early
1087,filter_funding:diagnostic_fail_not_applied,vwap_only,theoretical_not_applied,permanent,ETHUSDT,early
390,filter_sizing:reject,vwap_only,simultaneous_filter_states,permanent,ETHUSDT,early
984,filter_state_active:reject,vwap_only,simultaneous_filter_states,permanent,ETHUSDT,early
102,ordered_reject:basis_negative,vwap_only,sequential_first_rejection,permanent,ETHUSDT,early
6,ordered_reject:cooldown,vwap_only,sequential_first_rejection,permanent,ETHUSDT,early
984,ordered_reject:state_active,vwap_only,sequential_first_rejection,permanent,ETHUSDT,early
1092,simultaneous_reject,vwap_only,simultaneous_filter_states,permanent,ETHUSDT,early
3,renewal_outcome:HOLDING,vwap_only,renewal_diagnostics,conditional,PORTFOLIO,early
6,renewal_outcome:REBALANCING,vwap_only,renewal_diagnostics,conditional,PORTFOLIO,early
38,renewal_outcome:HOLDING,vwap_only,renewal_diagnostics,permanent,PORTFOLIO,early
27,renewal_outcome:REBALANCING,vwap_only,renewal_diagnostics,permanent,PORTFOLIO,early
1090,filter_basis_negative:reject,alignment_only,simultaneous_filter_states,conditional,BTCUSDT,late
1095,filter_funding:reject,alignment_only,simultaneous_filter_states,conditional,BTCUSDT,late
1095,ordered_reject:funding,alignment_only,sequential_first_rejection,conditional,BTCUSDT,late
1095,simultaneous_reject,alignment_only,simultaneous_filter_states,conditional,BTCUSDT,late
1095,filter_basis_negative:reject,alignment_only,simultaneous_filter_states,conditional,ETHUSDT,late
1095,filter_funding:reject,alignment_only,simultaneous_filter_states,conditional,ETHUSDT,late
1095,ordered_reject:funding,alignment_only,sequential_first_rejection,conditional,ETHUSDT,late
1095,simultaneous_reject,alignment_only,simultaneous_filter_states,conditional,ETHUSDT,late
1090,filter_basis_negative:reject,alignment_only,simultaneous_filter_states,permanent,BTCUSDT,late
6,filter_cooldown:reject,alignment_only,simultaneous_filter_states,permanent,BTCUSDT,late
1095,filter_funding:diagnostic_fail_not_applied,alignment_only,theoretical_not_applied,permanent,BTCUSDT,late
1087,ordered_reject:basis_negative,alignment_only,sequential_first_rejection,permanent,BTCUSDT,late
6,ordered_reject:cooldown,alignment_only,sequential_first_rejection,permanent,BTCUSDT,late
1093,simultaneous_reject,alignment_only,simultaneous_filter_states,permanent,BTCUSDT,late
1095,filter_basis_negative:reject,alignment_only,simultaneous_filter_states,permanent,ETHUSDT,late
1095,filter_funding:diagnostic_fail_not_applied,alignment_only,theoretical_not_applied,permanent,ETHUSDT,late
1095,ordered_reject:basis_negative,alignment_only,sequential_first_rejection,permanent,ETHUSDT,late
1095,simultaneous_reject,alignment_only,simultaneous_filter_states,permanent,ETHUSDT,late
1090,filter_basis_negative:reject,joint_sizing_only,simultaneous_filter_states,conditional,BTCUSDT,late
1095,filter_funding:reject,joint_sizing_only,simultaneous_filter_states,conditional,BTCUSDT,late
1095,ordered_reject:funding,joint_sizing_only,sequential_first_rejection,conditional,BTCUSDT,late
1095,simultaneous_reject,joint_sizing_only,simultaneous_filter_states,conditional,BTCUSDT,late
1095,filter_basis_negative:reject,joint_sizing_only,simultaneous_filter_states,conditional,ETHUSDT,late
1095,filter_funding:reject,joint_sizing_only,simultaneous_filter_states,conditional,ETHUSDT,late
1095,ordered_reject:funding,joint_sizing_only,sequential_first_rejection,conditional,ETHUSDT,late
1095,simultaneous_reject,joint_sizing_only,simultaneous_filter_states,conditional,ETHUSDT,late
1090,filter_basis_negative:reject,joint_sizing_only,simultaneous_filter_states,permanent,BTCUSDT,late
1,filter_budget:not_evaluable,joint_sizing_only,simultaneous_filter_states,permanent,BTCUSDT,late
1095,filter_funding:diagnostic_fail_not_applied,joint_sizing_only,theoretical_not_applied,permanent,BTCUSDT,late
1,filter_sizing:reject,joint_sizing_only,simultaneous_filter_states,permanent,BTCUSDT,late
